office,won,votes
President,trump-d,undefined}
U.S. House,moore-b,undefined}
U.S. House,figures-s,undefined}
U.S. House,rogers-m,undefined}
U.S. House,aderholt-r,undefined}
U.S. House,strong-d,undefined}
U.S. House,palmer-g,undefined}
U.S. House,sewell-t,undefined}
State Amendment,yes,undefined}
Civil Appeals,edwards-c,undefined}
Civil Appeals,hanson-c,undefined}
Civil Appeals,moore-t,undefined}
Criminal Appeals,minor-r,undefined}
Criminal Appeals,anderson-r,undefined}
Criminal Appeals,cole-b,undefined}
Public Service Commission,cavanaugh-t,undefined}
Supreme Court,stewart-s,undefined}
Supreme Court,mccool-c,undefined}
Supreme Court,bryan-t,undefined}
Supreme Court,sellers-w,undefined}
Supreme Court,mitchell-j,undefined}
State Board of Education,zeigler-j,undefined}
State Board of Education,mooney-k,undefined}
State Board of Education,chestnut-t,undefined}
State Board of Education,long-a,undefined}
