office,won,votes
President,trump-d,undefined}
U.S. House,begich-n,undefined}
State Senate,kiehl-j,undefined}
State Senate,bjorkman-j,undefined}
State Senate,kaufman-j,undefined}
State Senate,claman-m,undefined}
State Senate,dunbar-f,undefined}
State Senate,merrick-k,undefined}
State Senate,yundt-r,undefined}
State Senate,kawasaki-s,undefined}
State Senate,cronk-m,undefined}
State Senate,olson-d,undefined}
State House,bynum-j,undefined}
State House,himschoot-r,undefined}
State House,story-a,undefined}
State House,hannan-s,undefined}
State House,stutes-l,undefined}
State House,vance-s,undefined}
State House,ruffridge-j,undefined}
State House,elam-b,undefined}
State House,holland-k,undefined}
State House,kopp-c,undefined}
State House,coulombe-j,undefined}
State House,schrage-c,undefined}
State House,josephson-a,undefined}
State House,galvin-a,undefined}
State House,costello-m,undefined}
State House,hall-c,undefined}
State House,fields-z,undefined}
State House,,undefined}
State House,mina-g,undefined}
State House,gray-a,undefined}
State House,mears-d,undefined}
State House,eischeid-t,undefined}
State House,allard-j,undefined}
State House,saddler-d,undefined}
State House,johnson-d,undefined}
State House,tilton-c,undefined}
State House,underwood-j,undefined}
State House,,undefined}
State House,rauscher-g,undefined}
State House,mccabe-k,undefined}
State House,dibert-m,undefined}
State House,stapp-w,undefined}
State House,prax-m,undefined}
State House,tomaszewski-f,undefined}
State House,carrick-a,undefined}
State House,schwanke-r,undefined}
State House,edgmon-b,undefined}
State House,,undefined}
State House,foster-n,undefined}
State House,burke-r,undefined}
Measure,yes,undefined}
Measure,,undefined}
