office,won,votes
President,trump-d,undefined}
U.S. Senate,gallego-r,undefined}
U.S. House,schweikert-d,undefined}
U.S. House,crane-e,undefined}
U.S. House,ansari-y,undefined}
U.S. House,stanton-g,undefined}
U.S. House,biggs-a,undefined}
U.S. House,ciscomani-j,undefined}
U.S. House,grijalva-r,undefined}
U.S. House,hamadeh-a,undefined}
U.S. House,gosar-p,undefined}
State Senate,finchem-m,undefined}
State Senate,bolick-s,undefined}
State Senate,kavanagh-j,undefined}
State Senate,werner-c,undefined}
State Senate,alston-l,undefined}
State Senate,hatathlie-t,undefined}
State Senate,rogers-w,undefined}
State Senate,kuby-l,undefined}
State Senate,burch-e,undefined}
State Senate,farnsworth-d,undefined}
State Senate,miranda-c,undefined}
State Senate,epstein-d,undefined}
State Senate,mesnard-j,undefined}
State Senate,petersen-w,undefined}
State Senate,hoffman-j,undefined}
State Senate,shope-t,undefined}
State Senate,leach-v,undefined}
State Senate,sundareshan-p,undefined}
State Senate,gowan-d,undefined}
State Senate,gonzales-s,undefined}
State Senate,gabaldon-r,undefined}
State Senate,diaz-e,undefined}
State Senate,fernandez-b,undefined}
State Senate,ortiz-a,undefined}
State Senate,dunn-t,undefined}
State Senate,bravo-f,undefined}
State Senate,payne-k,undefined}
State Senate,carroll-f,undefined}
State Senate,shamp-j,undefined}
State Senate,angius-h,undefined}
State House,nguyen-q,bliss-s,undefined}
State House,,undefined}
State House,kolodin-a,chaplik-j,undefined}
State House,gress-m,carter-p,undefined}
State House,marquez-a,liguori-s,undefined}
State House,tsosie-m,peshlakai-m,undefined}
State House,marshall-d,blackman-w,undefined}
State House,connolly-j,garcia-b,undefined}
State House,blattman-s,austin-l,undefined}
State House,heap-r,olson-j,undefined}
State House,cavero-j,de_los_santos-o,undefined}
State House,contreras-p,travers-a,undefined}
State House,weninger-j,willoughby-j,undefined}
State House,hendrix-l,powell-k,undefined}
State House,carter-n,way-m,undefined}
State House,martinez-t,lopez-c,undefined}
State House,jones-r,volk-k,undefined}
State House,gutierrez-n,mathis-c,undefined}
State House,diaz-l,griffin-g,undefined}
State House,villegas-b,hernandez-a,undefined}
State House,stahl_hamilton-s,hernandez-c,undefined}
State House,chavira_contreras-l,lunanajera-e,undefined}
State House,sandoval-m,pena-m,undefined}
State House,hernandez-l,abeytia-a,undefined}
State House,carbone-m,kupper-n,undefined}
State House,aguilar-c,crews-q,undefined}
State House,rivero-t,fink-l,undefined}
State House,livingston-d,pingerelli-b,undefined}
State House,taylor-j,montenegro-s,undefined}
State House,biasiucci-l,gillette-j,undefined}
Proposition,no,undefined}
Proposition,no,undefined}
Proposition,no,undefined}
Proposition,no,undefined}
Proposition,no,undefined}
Proposition,no,undefined}
Proposition,yes,undefined}
Proposition,no,undefined}
Proposition,yes,undefined}
Proposition,yes,undefined}
Proposition,yes,undefined}
Proposition,yes,undefined}
Proposition,no,undefined}
Corporation Commissioner,walden-r,marquez_peterson-l,lopez-r,undefined}
County Attorney,mitchell-r,undefined}
County Attorney,conover-l,undefined}
County Recorder,heap-j,undefined}
County Recorder,cazareskelly-g,undefined}
County Supervisor,stewart-m,undefined}
County Supervisor,galvin-t,undefined}
County Supervisor,,undefined}
County Supervisor,lesko-d,undefined}
County Supervisor,gallardo-s,undefined}
County Supervisor,scott-r,undefined}
County Supervisor,heinz-m,undefined}
County Supervisor,allen-j,undefined}
County Supervisor,christy-s,undefined}
County Supervisor,grijalva-a,undefined}
Sheriff,sheridan-j,undefined}
Sheriff,,undefined}
