office,won,votes
President,trump-d,undefined}
U.S. House,crawford-r,undefined}
U.S. House,hill-f,undefined}
U.S. House,womack-s,undefined}
U.S. House,westerman-b,undefined}
State Senate,gilmore-b,undefined}
State Senate,crowell-s,undefined}
State Senate,hickey-j,undefined}
State Senate,rice-t,undefined}
State Senate,mckee-m,undefined}
State Senate,flowers-s,undefined}
State Senate,scott-j,undefined}
State Senate,johnson-m,undefined}
State Senate,dismang-j,undefined}
State Senate,wallace-d,undefined}
State Senate,sullivan-d,undefined}
State Senate,payton-j,undefined}
State Senate,flippo-s,undefined}
State Senate,davis-b,undefined}
State Senate,stubblefield-g,undefined}
State Senate,petty-j,undefined}
State Senate,hester-b,undefined}
State Senate,dotson-j,undefined}
State House,wooldridge-j,undefined}
State House,steimel-t,undefined}
State House,painter-s,undefined}
State House,nazarenko-j,undefined}
State House,mcnair-r,undefined}
State House,breaux-h,undefined}
State House,mckenzie-b,undefined}
State House,mccollum-a,undefined}
State House,worthen-d,undefined}
State House,mcalindon-m,undefined}
State House,burkes-r,undefined}
State House,hendren_duke-h,undefined}
State House,richardson-s,undefined}
State House,burkes-n,undefined}
State House,carr-j,undefined}
State House,underwood-k,undefined}
State House,torres-r,undefined}
State House,lundstrum-r,undefined}
State House,unger-s,undefined}
State House,garner-d,undefined}
State House,clowney-n,undefined}
State House,whitaker-d,undefined}
State House,moore-k,undefined}
State House,hall-b,undefined}
State House,puryear-c,undefined}
State House,eaton-j,undefined}
State House,walker-s,undefined}
State House,schulz-b,undefined}
State House,mcclure-r,undefined}
State House,cavenaugh-f,undefined}
State House,gazaway-j,undefined}
State House,ladyman-j,undefined}
State House,milligan-j,undefined}
State House,carr-j,undefined}
State House,mcgruder-j,undefined}
State House,rye-j,undefined}
State House,hollowell-s,undefined}
State House,tosh-d,undefined}
State House,long-w,undefined}
State House,pearce-s,undefined}
State House,brown-a,undefined}
State House,meeks-s,undefined}
State House,beck-r,undefined}
State House,berry-s,undefined}
State House,pilkington-a,undefined}
State House,eubanks-j,undefined}
State House,johnson-l,undefined}
State House,rose-r,undefined}
State House,richardson-j,undefined}
State House,gramlich-z,undefined}
State House,crawford-c,undefined}
State House,richmond-m,undefined}
State House,duffield-m,undefined}
State House,bentley-m,undefined}
State House,brown-m,undefined}
State House,magie-s,undefined}
State House,cooper-c,undefined}
State House,eaves-l,undefined}
State House,wooten-j,undefined}
State House,lynch-r,undefined}
State House,moore-j,undefined}
State House,mcelroy-m,undefined}
State House,barnett-l,undefined}
State House,ferguson-k,undefined}
State House,barnes-g,undefined}
State House,perry-m,undefined}
State House,brown-k,undefined}
State House,evans-b,undefined}
State House,ray-d,undefined}
State House,wing-c,undefined}
State House,achor-b,undefined}
State House,steele-t,undefined}
State House,collins-a,undefined}
State House,mccullough-t,undefined}
State House,hudson-a,undefined}
State House,springer-j,undefined}
State House,allen-f,undefined}
State House,brooks-k,undefined}
State House,shephard-t,undefined}
State House,ennett-d,undefined}
State House,hawk-r,undefined}
State House,furman-t,undefined}
State House,childress-p,undefined}
State House,warren-l,undefined}
State House,mcgrew-r,undefined}
State House,maddox-j,undefined}
State House,vaught-d,undefined}
State House,henley-d,undefined}
State House,gonzales-j,undefined}
State House,womack-r,undefined}
State House,cozart-b,undefined}
State House,mayberry-j,undefined}
State House,holcomb-m,undefined}
State House,wardlaw-j,undefined}
State House,beaty-h,undefined}
State House,barker-s,undefined}
State House,shepherd-m,undefined}
State House,andrews-w,undefined}
State House,jean-l,undefined}
State House,dalby-c,undefined}
Issue,for,undefined}
Issue,for,undefined}
Supreme Court,baker-k,undefined}
Treasurer,thurston-j,undefined}
