office,won,votes
President,harris-k,undefined}
U.S. Senate,schiff-a,undefined}
U.S. Senate,schiff-a,undefined}
U.S. House,lamalfa-d,undefined}
U.S. House,huffman-j,undefined}
U.S. House,kiley-k,undefined}
U.S. House,thompson-m,undefined}
U.S. House,mcclintock-t,undefined}
U.S. House,bera-a,undefined}
U.S. House,matsui-d,undefined}
U.S. House,garamendi-j,undefined}
U.S. House,harder-j,undefined}
U.S. House,desaulnier-m,undefined}
U.S. House,pelosi-n,undefined}
U.S. House,simon-l,undefined}
U.S. House,,undefined}
U.S. House,swalwell-e,undefined}
U.S. House,mullin-k,undefined}
U.S. House,liccardo-s,undefined}
U.S. House,khanna-r,undefined}
U.S. House,lofgren-z,undefined}
U.S. House,panetta-j,undefined}
U.S. House,fong-v,undefined}
U.S. House,costa-j,undefined}
U.S. House,valadao-d,undefined}
U.S. House,obernolte-j,undefined}
U.S. House,carbajal-s,undefined}
U.S. House,ruiz-r,undefined}
U.S. House,brownley-j,undefined}
U.S. House,whitesides-g,undefined}
U.S. House,chu-j,undefined}
U.S. House,rivas-l,undefined}
U.S. House,friedman-l,undefined}
U.S. House,cisneros-g,undefined}
U.S. House,sherman-b,undefined}
U.S. House,aguilar-p,undefined}
U.S. House,gomez-j,undefined}
U.S. House,torres-n,undefined}
U.S. House,lieu-t,undefined}
U.S. House,kamlagerdove-s,undefined}
U.S. House,sanchez-l,undefined}
U.S. House,takano-m,undefined}
U.S. House,kim-y,undefined}
U.S. House,calvert-k,undefined}
U.S. House,garcia-r,undefined}
U.S. House,waters-m,undefined}
U.S. House,barragan-n,undefined}
U.S. House,,undefined}
U.S. House,correa-l,undefined}
U.S. House,min-d,undefined}
U.S. House,issa-d,undefined}
U.S. House,levin-m,undefined}
U.S. House,peters-s,undefined}
U.S. House,jacobs-s,undefined}
U.S. House,vargas-j,undefined}
State Senate,dahle-m,undefined}
State Senate,cabaldon-c,undefined}
State Senate,mcnerney-j,undefined}
State Senate,arregun-j,undefined}
State Senate,grayson-t,undefined}
State Senate,wiener-s,undefined}
State Senate,becker-j,undefined}
State Senate,cortese-d,undefined}
State Senate,laird-j,undefined}
State Senate,bogh-r,undefined}
State Senate,limon-s,undefined}
State Senate,valladares-s,undefined}
State Senate,perez-s,undefined}
State Senate,stern-h,undefined}
State Senate,reyes-e,undefined}
State Senate,cervantes-s,undefined}
State Senate,gonzalez-l,undefined}
State Senate,richardson-l,undefined}
State Senate,,undefined}
State Senate,weber-a,undefined}
State Assembly,hadwick-h,undefined}
State Assembly,rogers-c,undefined}
State Assembly,gallagher-j,undefined}
State Assembly,aguiarcurry-c,undefined}
State Assembly,patterson-j,undefined}
State Assembly,krell-m,undefined}
