office,won,votes
President,harris-k,undefined}
U.S. House,degette-d,undefined}
U.S. House,neguse-j,undefined}
U.S. House,hurd-j,undefined}
U.S. House,boebert-l,undefined}
U.S. House,crank-j,undefined}
U.S. House,crow-j,undefined}
U.S. House,pettersen-b,undefined}
U.S. House,evans-g,undefined}
State Senate,frizell-l,undefined}
State Senate,catlin-m,undefined}
State Senate,simpson-c,undefined}
State Senate,liston-l,undefined}
State Senate,snyder-m,undefined}
State Senate,bright-s,undefined}
State Senate,kipp-c,undefined}
State Senate,kolker-c,undefined}
State Senate,jaquez_lewis-s,undefined}
State Senate,amabile-j,undefined}
State Senate,daugherty-l,undefined}
State Senate,michaelson_jenet-d,undefined}
State Senate,kirkmeyer-b,undefined}
State Senate,bridges-j,undefined}
State Senate,weissman-m,undefined}
State Senate,buckner-j,undefined}
State Senate,hansen-c,undefined}
State Senate,coleman-j,undefined}
State House,mabrey-j,undefined}
State House,woodrow-s,undefined}
State House,froelich-m,undefined}
State House,espenoza-c,undefined}
State House,valdez-a,undefined}
State House,camacho-s,undefined}
State House,bacon-j,undefined}
State House,gilchrist-l,undefined}
State House,sirota-e,undefined}
State House,joseph-j,undefined}
State House,mccormick-k,undefined}
State House,brown-k,undefined}
State House,mccluskie-j,undefined}
State House,pugliese-r,undefined}
State House,bottoms-s,undefined}
State House,,undefined}
State House,english-r,undefined}
State House,paschal-a,undefined}
State House,mcmillan-j,undefined}
State House,caldwell-j,undefined}
State House,bradfield-m,undefined}
State House,degraaf-k,undefined}
State House,duran-m,undefined}
State House,feret-l,undefined}
State House,story-t,undefined}
State House,lukens-m,undefined}
State House,titone-b,undefined}
State House,lieder-s,undefined}
State House,bird-s,undefined}
State House,stewart-r,undefined}
State House,phillips-j,undefined}
State House,rutinel-m,undefined}
State House,lindstedt-w,undefined}
State House,willford-j,undefined}
State House,garcia-l,undefined}
State House,carter-m,undefined}
State House,clifford-c,undefined}
State House,rydin-g,undefined}
State House,bradley-b,undefined}
State House,ricks-n,undefined}
State House,jodeh-i,undefined}
State House,lindsay-m,undefined}
State House,marshall-b,undefined}
State House,hartsook-a,undefined}
State House,brooks-m,undefined}
State House,mauro-t,undefined}
State House,winter-t,undefined}
State House,barron-c,undefined}
State House,smith-l,undefined}
State House,gonzalez-r,undefined}
State House,weinberg-r,undefined}
State House,zokaie-y,undefined}
State House,boesenecker-a,undefined}
State House,soper-m,undefined}
State House,taggart-r,undefined}
State House,richardson-c,undefined}
State House,velasco-e,undefined}
State House,suckla-l,undefined}
State House,stewart-k,undefined}
State House,luck-s,undefined}
State House,hamrick-e,undefined}
State House,martinez-m,undefined}
State House,johnson-d,undefined}
State House,armagost-r,undefined}
State House,garcia_sander-l,undefined}
Amendment,yes,undefined}
Amendment,yes,undefined}
Amendment,yes,undefined}
Amendment,yes,undefined}
Amendment,,undefined}
Amendment,yes,undefined}
Amendment,no,undefined}
Proposition,yes,undefined}
Proposition,yes,undefined}
Proposition,no,undefined}
Proposition,yes,undefined}
Proposition,yes,undefined}
Proposition,yes,undefined}
Proposition,no,undefined}
Regional Transportation District,nicholson-c,undefined}
Regional Transportation District,gutschenritter-c,undefined}
Regional Transportation District,larsen-m,undefined}
Regional Transportation District,chandler-k,undefined}
Regional Transportation District,bouquet-j,undefined}
Regional Transportation District,okeefe-p,undefined}
Regional Transportation District,benker-k,undefined}
Regional Transportation District,paglieri-b,undefined}
State Board of Education,gebhardt-k,undefined}
State Board of Education,wright-s,undefined}
State Board of Education,burton_brown-k,undefined}
State Board of Education,navarro-y,undefined}
University Regents,hood-e,undefined}
University Regents,scott-r,undefined}
University Regents,montera-k,undefined}
