office,won,votes
President,harris-k,undefined}
U.S. Senate,murphy-c,undefined}
U.S. House,larson-j,undefined}
U.S. House,courtney-j,undefined}
U.S. House,delauro-r,undefined}
U.S. House,himes-j,undefined}
U.S. House,hayes-j,undefined}
State Senate,fonfara-j,undefined}
State Senate,mccrory-d,undefined}
State Senate,anwar-s,undefined}
State Senate,rahman-m,undefined}
State Senate,slap-d,undefined}
State Senate,lopes-r,undefined}
State Senate,kissel-j,undefined}
State Senate,,undefined}
State Senate,lesser-m,undefined}
State Senate,winfield-g,undefined}
State Senate,looney-m,undefined}
State Senate,cohen-c,undefined}
State Senate,hochadel-j,undefined}
State Senate,maroney-j,undefined}
State Senate,hartley-j,undefined}
State Senate,sampson-r,undefined}
State Senate,cabrera-j,undefined}
State Senate,somers-h,undefined}
State Senate,osten-c,undefined}
State Senate,marx-m,undefined}
State Senate,kelly-k,undefined}
State Senate,gadkarwilcox-s,undefined}
State Senate,gaston-h,undefined}
State Senate,kushner-j,undefined}
State Senate,duff-b,undefined}
State Senate,maher-c,undefined}
State Senate,miller-p,undefined}
State Senate,hwang-t,undefined}
State Senate,flexer-m,undefined}
State Senate,harding-s,undefined}
State Senate,martin-h,undefined}
State Senate,berthel-e,undefined}
State Senate,needleman-n,undefined}
State Senate,cicarella-p,undefined}
State Senate,gordon-j,undefined}
State Senate,fazio-r,undefined}
State House,ritter-m,undefined}
State House,alliebrennan-r,undefined}
State House,gonzalez-m,undefined}
State House,concepcion-j,undefined}
State House,khan-m,undefined}
State House,sanchez-j,undefined}
State House,hall-j,undefined}
State House,ackert-t,undefined}
State House,rojas-j,undefined}
State House,genga-h,undefined}
State House,biggins-p,undefined}
State House,luxenberg-g,undefined}
State House,doucette-j,undefined}
State House,delnicki-t,undefined}
State House,gibson-b,undefined}
State House,osborne-m,undefined}
State House,degraw-e,undefined}
State House,gilchrest-j,undefined}
State House,exum-t,undefined}
State House,farrar-k,undefined}
State House,demicco-m,undefined}
State House,cooley-f,undefined}
State House,carney-d,undefined}
State House,sanchez-e,undefined}
State House,sanchez-r,undefined}
State House,defronzo-d,undefined}
State House,turco-g,undefined}
State House,bello-a,undefined}
State House,wood-k,undefined}
State House,veach-d,undefined}
State House,barry-j,undefined}
State House,carpino-c,undefined}
State House,chafee-b,undefined}
State House,haines-i,undefined}
State House,aniskovich-c,undefined}
State House,muir-r,undefined}
State House,,undefined}
State House,gauthier-n,undefined}
State House,nolan-a,undefined}
State House,conley-c,undefined}
State House,bumgardner-a,undefined}
State House,constantine-s,undefined}
State House,howard-g,undefined}
State House,dauphinais-a,undefined}
State House,lanoue-b,undefined}
State House,wilson-d,undefined}
State House,dubitsky-d,undefined}
State House,decaprio-m,undefined}
State House,johnson-s,undefined}
State House,boyd-p,undefined}
State House,stewart-c,undefined}
State House,vail-k,undefined}
State House,nuccio-t,undefined}
State House,haddad-g,undefined}
State House,weir-s,undefined}
State House,brown-k,undefined}
State House,foster-j,undefined}
State House,santanella-j,undefined}
State House,hall-c,undefined}
State House,garibay-j,undefined}
State House,zawistowski-t,undefined}
State House,anderson-m,undefined}
State House,case-j,undefined}
State House,horn-m,undefined}
State House,,undefined}
State House,reddingtonhughes-k,undefined}
State House,buckbee-w,undefined}
State House,polletta-j,undefined}
State House,buchsbaum-j,undefined}
State House,bronko-s,undefined}
State House,pizzuto-w,undefined}
State House,butler-l,undefined}
State House,napoli-r,undefined}
State House,digiovancarlo-m,undefined}
State House,reyes-g,undefined}
State House,piscopo-j,undefined}
State House,pavalockdamato-c,undefined}
State House,hoxha-j,undefined}
State House,fortier-m,undefined}
State House,mastrofrancesco-g,undefined}
State House,poulos-c,undefined}
State House,quinn-m,undefined}
State House,fazzino-j,undefined}
State House,santiago-h,undefined}
State House,mushinsky-m,undefined}
State House,candelora-v,undefined}
State House,yaccarino-d,undefined}
State House,elliott-j,undefined}
State House,zupkus-l,undefined}
State House,fishbein-c,undefined}
State House,sweet-l,undefined}
State House,dillon-p,undefined}
State House,walker-t,undefined}
State House,winter-s,undefined}
State House,candelaria-j,undefined}
State House,lemar-r,undefined}
State House,paolillo-a,undefined}
State House,rader-m,undefined}
State House,zullo-j,undefined}
State House,belton-k,undefined}
State House,parker-j,undefined}
State House,comey-r,undefined}
State House,linehan-l,undefined}
State House,rochelle-k,undefined}
State House,klaridesditria-n,undefined}
State House,bolinsky-m,undefined}
State House,foncello-m,undefined}
State House,callahan-p,undefined}
State House,santos-f,undefined}
State House,godfrey-b,undefined}
State House,bergergirvalo-a,undefined}
State House,scott-t,undefined}
State House,perillo-j,undefined}
State House,welander-m,undefined}
State House,heffernan-w,undefined}
State House,mcgee-t,undefined}
State House,shannon-m,undefined}
State House,smith-f,undefined}
State House,kennedy-k,undefined}
State House,shake-k,undefined}
State House,gresko-j,undefined}
State House,mcgorty-b,undefined}
State House,rutigliano-d,undefined}
State House,baker-a,undefined}
State House,odea-t,undefined}
State House,gee-f,undefined}
State House,brown-m,undefined}
State House,rosario-c,undefined}
State House,stafstrom-s,undefined}
State House,felipe-a,undefined}
State House,jensen-a,undefined}
State House,leeper-j,undefined}
State House,mccarthy_vahey-c,undefined}
State House,keitt-s,undefined}
State House,hughes-a,undefined}
State House,steinberg-j,undefined}
State House,roberts-k,undefined}
State House,gucker-k,undefined}
State House,ryan-k,undefined}
State House,simms-t,undefined}
State House,marra-t,undefined}
State House,dathan-l,undefined}
State House,johnson-d,undefined}
State House,delany-h,undefined}
State House,paris-c,undefined}
State House,main-e,undefined}
State House,blumenthal-m,undefined}
State House,jacobson-j,undefined}
State House,courpas-t,undefined}
State House,meskers-s,undefined}
State House,arzeno-h,undefined}
Amendment,yes,undefined}
