office,won,votes
President,harris-k,undefined}
U.S. Senate,blunt_rochester-l,undefined}
Governor,meyer-m,undefined}
U.S. House,mcbride-s,undefined}
Lieutenant Governor,evans_gay-k,undefined}
State Senate,brown-d,undefined}
State Senate,lockman-e,undefined}
State Senate,sturgeon-l,undefined}
State Senate,huxtable-r,undefined}
State Senate,hansen-s,undefined}
State Senate,townsend-b,undefined}
State Senate,buckson-e,undefined}
State Senate,paradee-t,undefined}
State Senate,wilson-d,undefined}
State Senate,richardson-b,undefined}
State House,chukwuocha-n,undefined}
State House,bolden-s,undefined}
State House,ortega-j,undefined}
State House,hilovsky-j,undefined}
State House,johnson-k,undefined}
State House,heffernan-d,undefined}
State House,lambert-l,undefined}
State House,moore-s,undefined}
State House,hensley-k,undefined}
State House,levin-m,undefined}
State House,spiegelman-j,undefined}
State House,griffith-k,undefined}
State House,neal-d,undefined}
State House,snyderhall-c,undefined}
State House,smith-k,undefined}
State House,cooke-f,undefined}
State House,minorbrown-m,undefined}
State House,phillips-s,undefined}
State House,williams-k,undefined}
State House,selby-s,undefined}
State House,burns-f,undefined}
State House,smith-m,undefined}
State House,gorman-m,undefined}
State House,osienski-e,undefined}
State House,romer-c,undefined}
State House,wilsonanton-m,undefined}
State House,morrison-e,undefined}
State House,carson-w,undefined}
State House,bush-w,undefined}
State House,morris-s,undefined}
State House,lynn-s,undefined}
State House,harris-k,undefined}
State House,postles-c,undefined}
State House,yearick-l,undefined}
State House,vanderwende-j,undefined}
State House,shupe-b,undefined}
State House,giltner-v,undefined}
State House,gray-r,undefined}
State House,short-d,undefined}
State House,dukes-t,undefined}
State House,collins-r,undefined}
Insurance Commissioner,navarro-t,undefined}
Mayor,carney-j,undefined}
