office,won,votes
President,trump-d,undefined}
U.S. Senate,scott-r,undefined}
U.S. House,gaetz-m,undefined}
U.S. House,dunn-n,undefined}
U.S. House,cammack-k,undefined}
U.S. House,bean-a,undefined}
U.S. House,rutherford-j,undefined}
U.S. House,waltz-m,undefined}
U.S. House,mills-c,undefined}
U.S. House,haridopolos-m,undefined}
U.S. House,soto-d,undefined}
U.S. House,frost-m,undefined}
U.S. House,webster-d,undefined}
U.S. House,bilirakis-g,undefined}
U.S. House,luna-a,undefined}
U.S. House,castor-k,undefined}
U.S. House,lee-l,undefined}
U.S. House,buchanan-v,undefined}
U.S. House,steube-g,undefined}
U.S. House,franklin-s,undefined}
U.S. House,donalds-b,undefined}
U.S. House,cherfilusmccormick-s,undefined}
U.S. House,mast-b,undefined}
U.S. House,frankel-l,undefined}
U.S. House,moskowitz-j,undefined}
U.S. House,wilson-f,undefined}
U.S. House,wasserman_schultz-d,undefined}
U.S. House,diazbalart-m,undefined}
U.S. House,salazar-m,undefined}
U.S. House,gimenez-c,undefined}
State Senate,gaetz-d,undefined}
State Senate,simon-c,undefined}
State Senate,davis-t,undefined}
State Senate,leek-t,undefined}
State Senate,mcclain-s,undefined}
State Senate,ingoglia-b,undefined}
State Senate,truenow-k,undefined}
State Senate,thompson-g,undefined}
State Senate,smith-c,undefined}
State Senate,fine-r,undefined}
State Senate,hooper-e,undefined}
State Senate,burgess-d,undefined}
State Senate,arrington-k,undefined}
State Senate,albritton-b,undefined}
State Senate,grall-e,undefined}
State Senate,harrell-g,undefined}
State Senate,martin-j,undefined}
State Senate,sharief-b,undefined}
State Senate,pizzo-j,undefined}
State Senate,avila-b,undefined}
State House,salzman-m,undefined}
State House,andrade-a,undefined}
State House,rudman-j,undefined}
State House,maney-p,undefined}
State House,abbott-s,undefined}
State House,griffitts-g,undefined}
State House,shoaf-j,undefined}
State House,franklin-g,undefined}
State House,tant-a,undefined}
State House,brannan-c,undefined}
State House,garrison-s,undefined}
State House,duggan-w,undefined}
State House,nixon-a,undefined}
State House,daniels-k,undefined}
State House,black-d,undefined}
State House,michael-k,undefined}
State House,baker-j,undefined}
State House,kendall-k,undefined}
State House,greco-s,undefined}
State House,sapp-j,undefined}
State House,hayes_hinson-y,undefined}
State House,johnson-c,undefined}
State House,grow-j,undefined}
State House,chamberlin-r,undefined}
State House,yarkosky-t,undefined}
State House,cobb-n,undefined}
State House,gentry-r,undefined}
State House,partington-b,undefined}
State House,barnaby-w,undefined}
State House,tramont-c,undefined}
State House,sirois-t,undefined}
State House,mayfield-d,undefined}
State House,miller-m,undefined}
State House,brackett-r,undefined}
State House,booth-e,undefined}
State House,plakon-r,undefined}
State House,plasencia-s,undefined}
State House,smith-d,undefined}
State House,bankson-d,undefined}
State House,bracy_davis-l,undefined}
State House,antone-b,undefined}
State House,eskamani-a,undefined}
State House,lopez-j,undefined}
State House,harris-j,undefined}
State House,spencer-l,undefined}
State House,alvarez-j,undefined}
State House,stark-p,undefined}
State House,albert-j,undefined}
State House,jonsson-j,undefined}
State House,canady-j,undefined}
State House,tomkow-j,undefined}
State House,temple-j,undefined}
State House,holcomb-j,undefined}
State House,maggard-r,undefined}
State House,steele-k,undefined}
State House,yeager-b,undefined}
State House,anderson-a,undefined}
State House,berfield-k,undefined}
State House,jacques-b,undefined}
State House,cross-l,undefined}
State House,chaney-l,undefined}
State House,rayner-m,undefined}
State House,hart-d,undefined}
State House,valdes-s,undefined}
State House,gonzalez_pittman-k,undefined}
State House,koster-t,undefined}
State House,driskell-f,undefined}
State House,mcclure-l,undefined}
State House,alvarez-d,undefined}
State House,owen-m,undefined}
State House,robinson-w,undefined}
State House,conerly-w,undefined}
State House,mcfarland-f,undefined}
State House,buchanan-j,undefined}
State House,nix-d,undefined}
State House,oliver-v,undefined}
State House,esposito-t,undefined}
State House,personsmulicka-j,undefined}
State House,giallombardo-m,undefined}
State House,botana-a,undefined}
State House,benarroch-y,undefined}
State House,melo-l,undefined}
State House,tuck-k,undefined}
State House,trabulsy-d,undefined}
State House,overdorf-t,undefined}
State House,snyder-j,undefined}
State House,caruso-m,undefined}
State House,edmonds-j,undefined}
State House,tendrich-d,undefined}
State House,casello-j,undefined}
State House,gossettseidman-p,undefined}
State House,skidmore-k,undefined}
State House,gerwig-a,undefined}
State House,weinberger-m,undefined}
State House,hunschofsky-c,undefined}
State House,daley-d,undefined}
State House,dunkley-l,undefined}
State House,rosenwald-m,undefined}
State House,campbell-d,undefined}
State House,lamarca-c,undefined}
State House,cassel-h,undefined}
State House,gottlieb-m,undefined}
State House,bartleman-r,undefined}
State House,robinson-f,undefined}
State House,woodson-m,undefined}
State House,basabe-f,undefined}
State House,aristide-w,undefined}
State House,joseph-d,undefined}
State House,gantt-a,undefined}
State House,fabricio-t,undefined}
State House,borrero-d,undefined}
State House,rizo-a,undefined}
State House,lopez-v,undefined}
State House,busatta_cabrera-d,undefined}
State House,blanco-o,undefined}
State House,perez-d,undefined}
State House,chambliss-k,undefined}
State House,redondo-m,undefined}
State House,porras-j,undefined}
State House,mooney-j,undefined}
Amendment,no,undefined}
Amendment,yes,undefined}
Amendment,no,undefined}
Amendment,no,undefined}
Amendment,yes,undefined}
Amendment,no,undefined}
Public Defender,vickers-m,undefined}
Public Defender,allen-b,undefined}
Public Defender,mclean-l,undefined}
Public Defender,eisinger-d,undefined}
Sheriff,corderostutz-r,undefined}
State Attorney,kramer-b,undefined}
State Attorney,worrell-m,undefined}
