office,won,votes
President,trump-d,undefined}
U.S. House,carter-b,undefined}
U.S. House,bishop-s,undefined}
U.S. House,jack-b,undefined}
U.S. House,johnson-h,undefined}
U.S. House,williams-n,undefined}
U.S. House,mcbath-l,undefined}
U.S. House,mccormick-r,undefined}
U.S. House,scott-a,undefined}
U.S. House,clyde-a,undefined}
U.S. House,collins-m,undefined}
U.S. House,loudermilk-b,undefined}
U.S. House,allen-r,undefined}
U.S. House,scott-d,undefined}
U.S. House,greene-m,undefined}
State Senate,watson-b,undefined}
State Senate,mallow-d,undefined}
State Senate,hodges-m,undefined}
State Senate,hickman-b,undefined}
State Senate,rahman-s,undefined}
State Senate,brass-m,undefined}
State Senate,islam_parkes-n,undefined}
State Senate,goodman-r,undefined}
State Senate,merritt-n,undefined}
State Senate,jones-e,undefined}
State Senate,watson-s,undefined}
State Senate,sims-f,undefined}
State Senate,summers-c,undefined}
State Senate,mclaurin-j,undefined}
State Senate,harbison-e,undefined}
State Senate,harbin-m,undefined}
State Senate,davenport-g,undefined}
State Senate,kennedy-j,undefined}
State Senate,tillery-b,undefined}
State Senate,walker-l,undefined}
State Senate,beach-b,undefined}
State Senate,jones-h,undefined}
State Senate,burns-m,undefined}
State Senate,anderson-l,undefined}
State Senate,williams-r,undefined}
State Senate,lucas-d,undefined}
State Senate,dolezal-g,undefined}
State Senate,james-d,undefined}
State Senate,robertson-r,undefined}
State Senate,bearden-t,undefined}
State Senate,anavitarte-j,undefined}
State Senate,kirkpatrick-k,undefined}
State Senate,rhett-m,undefined}
State Senate,wicks-k,undefined}
State Senate,esteves-j,undefined}
State Senate,orrock-n,undefined}
State Senate,setzler-e,undefined}
State Senate,kemp-r,undefined}
State Senate,halpern-s,undefined}
State Senate,harrell-s,undefined}
State Senate,jackson-k,undefined}
State Senate,strickland-b,undefined}
State Senate,anderson-t,undefined}
State Senate,parent-e,undefined}
State Senate,dixon-c,undefined}
State Senate,cowsert-b,undefined}
State Senate,ginn-f,undefined}
State Senate,still-s,undefined}
State Senate,echols-d,undefined}
State Senate,hatchett-b,undefined}
State Senate,gooch-s,undefined}
State Senate,hufstetler-c,undefined}
State Senate,moore-c,undefined}
State Senate,payne-c,undefined}
State Senate,mangham-r,undefined}
State Senate,albers-j,undefined}
State House,cameron-m,undefined}
State House,tarvin-s,undefined}
State House,horner-m,undefined}
State House,carpenter-k,undefined}
State House,barton-m,undefined}
State House,ridley-j,undefined}
State House,chastain-j,undefined}
State House,gunter-s,undefined}
State House,wade-w,undefined}
State House,anderson-v,undefined}
State House,jasperse-r,undefined}
State House,lumsden-e,undefined}
State House,dempsey-k,undefined}
State House,scoggins-m,undefined}
State House,gambill-m,undefined}
State House,kelley-t,undefined}
State House,momtahan-m,undefined}
State House,smith-t,undefined}
State House,gullett-j,undefined}
State House,byrd-c,undefined}
State House,thomas-b,undefined}
State House,ridley-j,undefined}
State House,ballinger-m,undefined}
State House,barrett-c,undefined}
State House,jones-t,undefined}
State House,mcdonald-l,undefined}
State House,hawkins-l,undefined}
State House,cox-b,undefined}
State House,dubnik-m,undefined}
State House,mccollum-d,undefined}
State House,dunahoo-e,undefined}
State House,erwin-c,undefined}
State House,powell-a,undefined}
State House,seabaugh-d,undefined}
State House,campbell-l,undefined}
State House,ehrhart-g,undefined}
State House,williams-m,undefined}
State House,wilkerson-d,undefined}
State House,cummings-t,undefined}
State House,new-k,undefined}
State House,smith-m,undefined}
State House,sanchez-g,undefined}
State House,adesanya-s,undefined}
State House,parsons-d,undefined}
State House,cooper-s,undefined}
State House,carson-j,undefined}
State House,jones-j,undefined}
State House,hilton-s,undefined}
State House,martin-c,undefined}
State House,au-m,undefined}
State House,panitch-e,undefined}
State House,roberts-s,undefined}
State House,silcox-d,undefined}
State House,holland-b,undefined}
State House,willis-i,undefined}
State House,berry-b,undefined}
State House,evans-s,undefined}
State House,cannon-p,undefined}
State House,olaleye-p,undefined}
State House,jones-s,undefined}
State House,mcqueen-m,undefined}
State House,miller-t,undefined}
State House,schofield-k,undefined}
State House,baker-s,undefined}
State House,dawson-r,undefined}
State House,alexander-k,undefined}
State House,glaize-l,undefined}
State House,jackson-d,undefined}
State House,bazemore-d,undefined}
State House,smith-l,undefined}
State House,howard-j,undefined}
State House,huddleston-d,undefined}
State House,bonner-j,undefined}
State House,flournoy-r,undefined}
State House,bell-e,undefined}
State House,scott-s,undefined}
State House,burnough-r,undefined}
State House,douglas-d,undefined}
State House,neal-y,undefined}
State House,tran-l,undefined}
State House,kahaian-n,undefined}
State House,mathiak-k,undefined}
State House,lupton-k,undefined}
State House,oliver-m,undefined}
State House,drenner-k,undefined}
State House,barnes-i,undefined}
State House,davis-v,undefined}
State House,mitchell-b,undefined}
State House,crawford-o,undefined}
State House,draper-s,undefined}
State House,moore-a,undefined}
State House,taylor-r,undefined}
State House,carter-d,undefined}
State House,bennett-k,undefined}
State House,kendrick-d,undefined}
State House,beckles-a,undefined}
State House,romman-r,undefined}
