office,won,votes
President,harris-k,undefined}
U.S. Senate,hirono-m,undefined}
U.S. House,case-e,undefined}
U.S. House,tokuda-j,undefined}
State Senate,inouye-l,undefined}
State Senate,kanuha-d,undefined}
State Senate,richards-t,undefined}
State Senate,hashimoto-t,undefined}
State Senate,mckelvey-a,undefined}
State Senate,decoite-l,undefined}
State Senate,moriwaki-s,undefined}
State Senate,elefante-b,undefined}
State Senate,kidani-m,undefined}
State Senate,aquino-h,undefined}
State Senate,decorte-s,undefined}
State Senate,awa-b,undefined}
State Senate,keohokalole-j,undefined}
State House,nakashima-m,undefined}
State House,lee_loy-s,undefined}
State House,todd-c,undefined}
State House,ilagan-g,undefined}
State House,kapela-j,undefined}
State House,kahaloa-k,undefined}
State House,lowen-n,undefined}
State House,tarnas-d,undefined}
State House,woodson-j,undefined}
State House,miyake-t,undefined}
State House,amato-t,undefined}
State House,yamashita-k,undefined}
State House,poepoe-m,undefined}
State House,cochran-e,undefined}
State House,nakamura-n,undefined}
State House,evslin-l,undefined}
State House,morikawa-d,undefined}
State House,ward-g,undefined}
State House,hashem-m,undefined}
State House,grandinetti-t,undefined}
State House,sayama-j,undefined}
State House,garrett-a,undefined}
State House,olds-i,undefined}
State House,tam-a,undefined}
State House,iwamoto-k,undefined}
State House,belatti-d,undefined}
State House,takenouchi-j,undefined}
State House,holt-d,undefined}
State House,hussey-i,undefined}
State House,templo-s,undefined}
State House,ichiyama-l,undefined}
State House,shimizu-g,undefined}
State House,kong-s,undefined}
State House,takayama-g,undefined}
State House,chun-c,undefined}
State House,lamosao-r,undefined}
State House,la_chica-t,undefined}
State House,matsumoto-l,undefined}
State House,pierick-e,undefined}
State House,reyes_oda-j,undefined}
State House,alcos-d,undefined}
State House,garcia-d,undefined}
State House,souza-k,undefined}
State House,kila-d,undefined}
State House,muraoka-c,undefined}
State House,perruso-a,undefined}
State House,quinlan-s,undefined}
State House,kitagawa-l,undefined}
State House,matayoshi-s,undefined}
State House,lee-m,undefined}
State House,marten-l,undefined}
Amendment,yes,undefined}
Amendment,yes,undefined}
