office,won,votes
President,trump-d,undefined}
U.S. House,fulcher-r,undefined}
U.S. House,simpson-m,undefined}
State Senate,woodward-j,undefined}
State Senate,hart-p,undefined}
State Senate,okuniewicz-d,undefined}
State Senate,toews-b,undefined}
State Senate,bjerke-c,undefined}
State Senate,foreman-d,undefined}
State Senate,carlson-c,undefined}
State Senate,zito-c,undefined}
State Senate,shippy-b,undefined}
State Senate,nichols-t,undefined}
State Senate,blaylock-c,undefined}
State Senate,adams-b,undefined}
State Senate,lenney-b,undefined}
State Senate,grow-c,undefined}
State Senate,galloway-c,undefined}
State Senate,rabe-a,undefined}
State Senate,semmelroth-c,undefined}
State Senate,wardengelking-j,undefined}
State Senate,wintrow-m,undefined}
State Senate,keyser-j,undefined}
State Senate,bernt-t,undefined}
State Senate,den_hartog-l,undefined}
State Senate,lakey-t,undefined}
State Senate,zuiderveld-g,undefined}
State Senate,kohl-j,undefined}
State Senate,taylor-r,undefined}
State Senate,anthon-k,undefined}
State Senate,guthrie-j,undefined}
State Senate,ruchti-j,undefined}
State Senate,vanorden-j,undefined}
State Senate,burtenshaw-v,undefined}
State Senate,cook-k,undefined}
State Senate,lent-d,undefined}
State Senate,ricks-d,undefined}
State Senate,harris-m,undefined}
State House,sauter-m,undefined}
State House,rasor-c,undefined}
State House,scott-h,undefined}
State House,hawkins-d,undefined}
State House,barbieri-v,undefined}
State House,redman-j,undefined}
State House,alfieri-j,undefined}
State House,price-e,undefined}
State House,mendive-r,undefined}
State House,wisniewski-t,undefined}
State House,mccann-l,undefined}
State House,mitchell-b,undefined}
State House,harris-k,undefined}
State House,shepherd-c,undefined}
State House,beiswenger-r,undefined}
State House,thompson-f,undefined}
State House,shirts-j,undefined}
State House,boyle-j,undefined}
State House,moyle-m,undefined}
State House,skaug-b,undefined}
State House,marmon-k,undefined}
State House,cayler-l,undefined}
State House,cornilles-j,undefined}
State House,crane-j,undefined}
State House,crane-b,undefined}
State House,tanner-s,undefined}
State House,hill-t,undefined}
State House,tanner-j,undefined}
State House,berch-s,undefined}
State House,healey-d,undefined}
State House,galaviz-s,undefined}
State House,achilles-t,undefined}
State House,gannon-j,undefined}
State House,egbert-m,undefined}
State House,rubel-i,undefined}
State House,green-b,undefined}
State House,church-m,undefined}
State House,mathias-c,undefined}
State House,palmer-j,undefined}
State House,holtzclaw-j,undefined}
State House,petzke-j,undefined}
State House,ehlers-j,undefined}
State House,vander_woude-j,undefined}
State House,monks-j,undefined}
State House,bruce-c,undefined}
State House,dygert-s,undefined}
State House,hostetler-c,undefined}
State House,miller-s,undefined}
State House,clow-l,undefined}
State House,leavitt-d,undefined}
State House,pohanka-m,undefined}
State House,nelsen-j,undefined}
State House,pickett-d,undefined}
State House,handy-c,undefined}
State House,cheatum-r,undefined}
State House,garner-d,undefined}
State House,manwaring-d,undefined}
State House,burgoyne-t,undefined}
State House,cannon-d,undefined}
State House,fuhriman-b,undefined}
State House,raymond-j,undefined}
State House,furniss-r,undefined}
State House,mickelsen-s,undefined}
State House,horman-w,undefined}
State House,ehardt-b,undefined}
State House,erickson-m,undefined}
State House,weber-j,undefined}
State House,raybould-b,undefined}
State House,andrus-k,undefined}
State House,wheeler-j,undefined}
Constitutional Amendment,yes,undefined}
Proposition,no,undefined}
