office,won,votes
President,harris-k,undefined}
U.S. House,jackson-j,undefined}
U.S. House,kelly-r,undefined}
U.S. House,ramirez-d,undefined}
U.S. House,garcia-c,undefined}
U.S. House,quigley-m,undefined}
U.S. House,casten-s,undefined}
U.S. House,davis-d,undefined}
U.S. House,krishnamoorthi-r,undefined}
U.S. House,schakowsky-j,undefined}
U.S. House,schneider-b,undefined}
U.S. House,foster-b,undefined}
U.S. House,bost-m,undefined}
U.S. House,budzinski-n,undefined}
U.S. House,underwood-l,undefined}
U.S. House,miller-m,undefined}
U.S. House,lahood-d,undefined}
U.S. House,sorensen-e,undefined}
State Senate,cervantes-j,undefined}
State Senate,lightford-k,undefined}
State Senate,collins-l,undefined}
State Senate,simmons-m,undefined}
State Senate,martwick-r,undefined}
State Senate,peters-r,undefined}
State Senate,preston-w,undefined}
State Senate,hastings-m,undefined}
State Senate,guzman-g,undefined}
State Senate,castro-c,undefined}
State Senate,villa-k,undefined}
State Senate,walker-m,undefined}
State Senate,murphy-l,undefined}
State Senate,edlyallen-m,undefined}
State Senate,stadelman-s,undefined}
State Senate,arellano-l,undefined}
State Senate,joyce-p,undefined}
State Senate,ventura-r,undefined}
State Senate,koehler-d,undefined}
State Senate,loughran_cappel-m,undefined}
State Senate,faraci-p,undefined}
State Senate,balkema-c,undefined}
State Senate,plummer-j,undefined}
State Senate,bryant-t,undefined}
State House,ortiz-a,undefined}
State House,hernandez-e,undefined}
State House,delgado-e,undefined}
State House,jimenez-l,undefined}
State House,neely_dubuclet-k,undefined}
State House,harper-s,undefined}
State House,welch-e,undefined}
State House,ford-l,undefined}
State House,morris-y,undefined}
State House,williams-j,undefined}
State House,williams-a,undefined}
State House,croke-m,undefined}
State House,huynh-h,undefined}
State House,cassidy-k,undefined}
State House,kelly-m,undefined}
State House,olickal-k,undefined}
State House,gonggershowitz-j,undefined}
State House,gabel-r,undefined}
State House,lapointe-l,undefined}
State House,stephens-b,undefined}
State House,rashid-a,undefined}
State House,guerrerocuellar-a,undefined}
