office,won,votes
President,trump-d,undefined}
U.S. Senate,banks-j,undefined}
Governor,braun-m,undefined}
U.S. House,mrvan-f,undefined}
U.S. House,yakym-r,undefined}
U.S. House,stutzman-m,undefined}
U.S. House,baird-j,undefined}
U.S. House,spartz-v,undefined}
U.S. House,shreve-j,undefined}
U.S. House,carson-a,undefined}
U.S. House,messmer-m,undefined}
U.S. House,houchin-e,undefined}
Attorney General,rokita-t,undefined}
State Senate,randolph-l,undefined}
State Senate,spencer-m,undefined}
State Senate,charbonneau-e,undefined}
State Senate,buchanan-b,undefined}
State Senate,bohacek-m,undefined}
State Senate,mishler-r,undefined}
State Senate,niezgodski-d,undefined}
State Senate,doriot-b,undefined}
State Senate,glick-s,undefined}
State Senate,busch-j,undefined}
State Senate,donato-s,undefined}
State Senate,baldwin-s,undefined}
State Senate,clark-b,undefined}
State Senate,crider-m,undefined}
State Senate,qaddoura-f,undefined}
State Senate,freeman-a,undefined}
State Senate,taylor-g,undefined}
State Senate,jackson-l,undefined}
State Senate,young-m,undefined}
State Senate,carrasco-c,undefined}
State Senate,bray-r,undefined}
State Senate,yoder-s,undefined}
State Senate,leising-j,undefined}
State Senate,koch-e,undefined}
State Senate,becker-v,undefined}
State House,jackson-c,undefined}
State House,harris-e,undefined}
State House,hatcher-r,undefined}
State House,soliday-e,undefined}
State House,devon-d,undefined}
State House,bauer-m,undefined}
State House,teshka-j,undefined}
State House,dvorak-r,undefined}
State House,boy-p,undefined}
State House,moseley-c,undefined}
State House,aylesworth-m,undefined}
State House,andrade-m,undefined}
State House,commons-m,undefined}
State House,smith-v,undefined}
State House,slager-h,undefined}
State House,culp-k,undefined}
State House,jordan-j,undefined}
State House,abbott-d,undefined}
State House,olthoff-j,undefined}
State House,pressel-j,undefined}
State House,wesco-t,undefined}
State House,snow-c,undefined}
State House,manning-e,undefined}
State House,smith-h,undefined}
State House,,undefined}
State House,campbell-c,undefined}
State House,klinker-s,undefined}
State House,thompson-j,undefined}
State House,shonkwiler-a,undefined}
State House,karickhoff-m,undefined}
State House,gossreaves-l,undefined}
State House,garcia_wilburn-v,undefined}
State House,prescott-j,undefined}
State House,errington-s,undefined}
State House,rowray-e,undefined}
State House,pierce-k,undefined}
State House,huston-t,undefined}
State House,vannatter-h,undefined}
State House,lopez-d,undefined}
State House,steuerwald-g,undefined}
State House,genda-m,undefined}
State House,morrison-a,undefined}
State House,pfaff-t,undefined}
State House,baird-b,undefined}
State House,borders-b,undefined}
State House,heaton-b,undefined}
State House,greene-r,undefined}
State House,miller-d,undefined}
State House,king-j,undefined}
State House,sweet-l,undefined}
State House,isa-t,undefined}
State House,smaltz-b,undefined}
State House,lawson-e,undefined}
State House,criswell-c,undefined}
State House,patterson-l,undefined}
State House,barrett-b,undefined}
State House,haggard-c,undefined}
State House,davis-m,undefined}
State House,lauer-r,undefined}
State House,mayfield-p,undefined}
State House,pierce-m,undefined}
State House,hall-d,undefined}
State House,lindauer-s,undefined}
State House,hostettler-m,undefined}
State House,may-c,undefined}
State House,payne-z,undefined}
State House,zimmerman-a,undefined}
State House,bascom-g,undefined}
State House,lucas-j,undefined}
State House,engleman-k,undefined}
State House,dant_chesser-w,undefined}
State House,clere-e,undefined}
State House,meltzer-j,undefined}
State House,bartels-s,undefined}
State House,ledbetter-c,undefined}
State House,mcnamara-w,undefined}
State House,burton-a,undefined}
State House,obrien-t,undefined}
State House,lehman-m,undefined}
State House,giaquinta-p,undefined}
State House,carbaugh-m,undefined}
State House,miller-k,undefined}
State House,judy-c,undefined}
State House,morris-b,undefined}
State House,heine-d,undefined}
State House,delaney-e,undefined}
State House,hamilton-c,undefined}
State House,jeter-c,undefined}
State House,gore-m,undefined}
State House,ireland-a,undefined}
State House,behning-r,undefined}
State House,pack-r,undefined}
State House,mcguire-j,undefined}
State House,pryor-c,undefined}
State House,bartlett-j,undefined}
State House,porter-g,undefined}
State House,moed-j,undefined}
State House,shackleford-r,undefined}
State House,summers-v,undefined}
State House,johnson-b,undefined}
Question,yes,undefined}
