office,won,votes
President,trump-d,undefined}
U.S. House,,undefined}
U.S. House,hinson-a,undefined}
U.S. House,nunn-z,undefined}
U.S. House,feenstra-r,undefined}
State Senate,taylor-j,undefined}
State Senate,kraayenbrink-t,undefined}
State Senate,schultz-j,undefined}
State Senate,costello-m,undefined}
State Senate,dawson-d,undefined}
State Senate,sinclair-a,undefined}
State Senate,,undefined}
State Senate,celsi-c,undefined}
State Senate,petersen-j,undefined}
State Senate,,undefined}
State Senate,blake-m,undefined}
State Senate,green-j,undefined}
State Senate,warme-k,undefined}
State Senate,guth-d,undefined}
State Senate,campbell-d,undefined}
State Senate,klimesh-m,undefined}
State Senate,zumbach-d,undefined}
State Senate,townsend-t,undefined}
State Senate,,undefined}
State Senate,staed-a,undefined}
State Senate,mcclintock-c,undefined}
State Senate,dickey-a,undefined}
State Senate,driscoll-d,undefined}
State Senate,lofgren-m,undefined}
State Senate,reichman-j,undefined}
State House,scholten-j,undefined}
State House,henderson-r,undefined}
State House,jeneary-t,undefined}
State House,wheeler-s,undefined}
State House,dieken-z,undefined}
State House,jones-m,undefined}
State House,sexton-m,undefined}
State House,meyer-a,undefined}
State House,stone-h,undefined}
State House,wills-j,undefined}
State House,williams-c,undefined}
State House,holt-s,undefined}
State House,sitzmann-t,undefined}
State House,bossman-j,undefined}
State House,windschitl-m,undefined}
State House,sieck-d,undefined}
State House,wood-d,undefined}
State House,moore-t,undefined}
State House,siegrist-b,undefined}
State House,turek-j,undefined}
State House,boden-b,undefined}
State House,fett-s,undefined}
State House,sorensen-r,undefined}
State House,wengryn-s,undefined}
State House,wilz-h,undefined}
State House,harris-a,undefined}
State House,judge-k,undefined}
State House,young-d,undefined}
State House,meyer-b,undefined}
State House,srinivas-m,undefined}
State House,madison-m,undefined}
State House,konfrst-j,undefined}
State House,gaines-r,undefined}
State House,johnson-r,undefined}
State House,bagniewski-s,undefined}
State House,baeth-a,undefined}
State House,kniff_mcculla-b,undefined}
State House,dunwell-j,undefined}
State House,olson-r,undefined}
State House,gustoff-b,undefined}
State House,,undefined}
State House,matson-h,undefined}
State House,andrews-e,undefined}
State House,mcburney-l,undefined}
State House,lohse-b,undefined}
State House,gehlbach-d,undefined}
State House,nordman-c,undefined}
State House,behn-c,undefined}
State House,wesselkroeschell-b,undefined}
State House,wilburn-r,undefined}
State House,barker-b,undefined}
State House,blom-d,undefined}
State House,fisher-d,undefined}
State House,meggers-j,undefined}
State House,latham-s,undefined}
State House,thompson-m,undefined}
State House,grassley-p,undefined}
State House,thomson-c,undefined}
State House,hermanson-c,undefined}
State House,bloomingdale-j,undefined}
State House,brownpowers-t,undefined}
State House,amos-j,undefined}
State House,bergan-m,undefined}
State House,gearhart-j,undefined}
State House,lundgren-s,undefined}
State House,bradley-s,undefined}
State House,johnson-c,undefined}
State House,ingels-c,undefined}
State House,determann-t,undefined}
State House,mommsen-n,undefined}
State House,james-l,undefined}
State House,smith-j,undefined}
State House,wilson-e,undefined}
State House,gjerde-e,undefined}
State House,kressig-b,undefined}
State House,wulf-d,undefined}
State House,cooling-j,undefined}
State House,scheetz-s,undefined}
State House,ehlert-t,undefined}
State House,wichtendahl-a,undefined}
State House,gosa-d,undefined}
State House,kaufmann-b,undefined}
State House,golding-c,undefined}
State House,gerhold-t,undefined}
State House,nielsen-a,undefined}
State House,jacoby-d,undefined}
State House,shipley-j,undefined}
State House,hayes-h,undefined}
State House,levin-e,undefined}
State House,zabner-a,undefined}
State House,lawler-j,undefined}
State House,hora-h,undefined}
State House,mohr-g,undefined}
State House,vondran-m,undefined}
State House,collins-t,undefined}
State House,cisneros-m,undefined}
State House,croken-k,undefined}
State House,,undefined}
State House,rinker-m,undefined}
State House,graber-m,undefined}
Amendment,yes,undefined}
Amendment,yes,undefined}
