office,won,votes
President,trump-d,undefined}
U.S. House,mann-t,undefined}
U.S. House,schmidt-d,undefined}
U.S. House,davids-s,undefined}
U.S. House,estes-r,undefined}
State Senate,bowser-c,undefined}
State Senate,francisco-m,undefined}
State Senate,kloos-r,undefined}
State Senate,haley-d,undefined}
State Senate,,undefined}
State Senate,pettey-p,undefined}
State Senate,corson-e,undefined}
State Senate,holscher-c,undefined}
State Senate,gossage-b,undefined}
State Senate,thompson-m,undefined}
State Senate,warren-k,undefined}
State Senate,tyson-c,undefined}
State Senate,shallenburger-t,undefined}
State Senate,fagg-m,undefined}
State Senate,peck-v,undefined}
State Senate,masterson-t,undefined}
State Senate,argabright-m,undefined}
State Senate,titus-k,undefined}
State Senate,schmidt-p,undefined}
State Senate,dietrich-b,undefined}
State Senate,sykes-d,undefined}
State Senate,starnes-b,undefined}
State Senate,thomas-a,undefined}
State Senate,claeys-j,undefined}
State Senate,ware-m,undefined}
State Senate,blasi-c,undefined}
State Senate,claeys-j,undefined}
State Senate,petersen-m,undefined}
State Senate,faustgoudeau-o,undefined}
State Senate,erickson-r,undefined}
State Senate,owens-s,undefined}
State Senate,alley-l,undefined}
State Senate,blew-t,undefined}
State Senate,murphy-m,undefined}
State Senate,rose-t,undefined}
State Senate,bowers-e,undefined}
State Senate,shane-d,undefined}
State Senate,ryckman-r,undefined}
State Senate,clifford-w,undefined}
State Senate,billinger-r,undefined}
State House,helwig-d,undefined}
State House,collins-k,undefined}
State House,smith-c,undefined}
State House,james-r,undefined}
State House,barth-c,undefined}
State House,poetter_parshall-s,undefined}
State House,goddard-d,undefined}
State House,croft-c,undefined}
State House,gardner-f,undefined}
State House,wikle-s,undefined}
State House,bryce-r,undefined}
State House,blex-d,undefined}
State House,droge-d,undefined}
State House,esau-c,undefined}
State House,,undefined}
State House,featherston-l,undefined}
State House,hoye-j,undefined}
State House,neighbor-c,undefined}
State House,sawyer_clayton-s,undefined}
State House,poskin-m,undefined}
State House,stogsdill-j,undefined}
State House,vaughn-l,undefined}
State House,ruiz-s,undefined}
State House,ousley-j,undefined}
State House,xu-r,undefined}
State House,vanhouden-c,undefined}
State House,tarwater-s,undefined}
State House,,undefined}
State House,meyer-h,undefined}
State House,williams-l,undefined}
State House,ruiz-l,undefined}
State House,curtis-p,undefined}
State House,thompson-m,undefined}
State House,winn-v,undefined}
State House,brownlee_paige-w,undefined}
State House,melton-l,undefined}
State House,oropeza-m,undefined}
State House,johnson-t,undefined}
State House,stiens-a,undefined}
State House,buehler-d,undefined}
State House,proctor-p,undefined}
State House,neelly-l,undefined}
State House,sutton-b,undefined}
State House,ballard-b,undefined}
State House,amyx-m,undefined}
State House,mosley-b,undefined}
State House,ellis-r,undefined}
State House,osman-d,undefined}
State House,,undefined}
State House,mcnorton-k,undefined}
State House,steele-m,undefined}
State House,borjon-j,undefined}
State House,haskins-k,undefined}
State House,corbet-k,undefined}
State House,schlingensiepen-t,undefined}
State House,weigel-v,undefined}
State House,alcala-j,undefined}
State House,simmons-a,undefined}
State House,schmoe-r,undefined}
State House,schreiber-m,undefined}
State House,awerkamp-f,undefined}
State House,willcott-s,undefined}
State House,reavis-a,undefined}
State House,bloom-l,undefined}
State House,chauncey-s,undefined}
State House,carlin-s,undefined}
State House,roeser-a,undefined}
State House,butler-n,undefined}
State House,sanders-c,undefined}
State House,hill-s,undefined}
State House,howe-s,undefined}
State House,anderson-a,undefined}
State House,wilborn-r,undefined}
State House,king-m,undefined}
State House,carpenter-w,undefined}
State House,barrett-b,undefined}
State House,williams-k,undefined}
State House,essex-r,undefined}
State House,roth-w,undefined}
State House,rhiley-b,undefined}
State House,carpenter-b,undefined}
State House,howell-l,undefined}
State House,helgerson-h,undefined}
State House,carr-f,undefined}
State House,penn-p,undefined}
State House,miller-s,undefined}
State House,oliver_estes-s,undefined}
State House,pickert-s,undefined}
State House,ohaebosim-k,undefined}
State House,huebert-s,undefined}
State House,bergquist-e,undefined}
State House,carmichael-j,undefined}
State House,bergkamp-b,undefined}
State House,delperdang-l,undefined}
State House,sawyer-t,undefined}
State House,kessler-t,undefined}
State House,hoheisel-n,undefined}
State House,howerton-c,undefined}
State House,humphries-s,undefined}
State House,hawkins-d,undefined}
State House,seiwert-j,undefined}
State House,sweely-k,undefined}
State House,martinez-a,undefined}
State House,waggoner-p,undefined}
State House,ward-j,undefined}
State House,moser-l,undefined}
State House,wolf-d,undefined}
State House,woodard-b,undefined}
State House,waymaster-t,undefined}
State House,rahjes-k,undefined}
State House,wasinger-b,undefined}
State House,brantley-s,undefined}
State House,fairchild-b,undefined}
State House,schwertfeger-k,undefined}
State House,white-g,undefined}
State House,hoffman-k,undefined}
State House,turk-a,undefined}
State House,minnix-j,undefined}
State House,goetz-j,undefined}
State House,smith-a,undefined}
State House,resman-j,undefined}
State House,pishny-l,undefined}
State House,lewis-b,undefined}
State House,long-m,undefined}
State House,francis-s,undefined}
State Board of Education,haas-m,undefined}
State Board of Education,,undefined}
State Board of Education,new-b,undefined}
State Board of Education,arnold-b,undefined}
State Board of Education,potter-d,undefined}
