office,won,votes
President,trump-d,undefined}
U.S. House,comer-j,undefined}
U.S. House,guthrie-b,undefined}
U.S. House,mcgarvey-m,undefined}
U.S. House,massie-t,undefined}
U.S. House,rogers-h,undefined}
U.S. House,barr-a,undefined}
State Senate,howell-j,undefined}
State Senate,richardson-c,undefined}
State Senate,meredith-s,undefined}
State Senate,reed-a,undefined}
State Senate,givens-d,undefined}
State Senate,rawlings-s,undefined}
State Senate,thomas-r,undefined}
State Senate,girdler-r,undefined}
State Senate,nunn-m,undefined}
State Senate,chambers_armstrong-c,undefined}
State Senate,storm-b,undefined}
State Senate,mcdaniel-c,undefined}
State Senate,stivers-r,undefined}
State Senate,west-s,undefined}
State Senate,madon_writein-s,undefined}
State Senate,wheeler-p,undefined}
State Senate,neal-g,undefined}
State Senate,herron-k,undefined}
State Senate,yates-d,undefined}
State House,rudy-s,undefined}
State House,holloway-k,undefined}
State House,bridges-r,undefined}
State House,williams-w,undefined}
State House,imes-m,undefined}
State House,freeland-c,undefined}
State House,miles-s,undefined}
State House,thomas-w,undefined}
State House,dossett-m,undefined}
State House,calloway-j,undefined}
State House,payne-j,undefined}
State House,gooch-j,undefined}
State House,johnson-d,undefined}
State House,lewis-s,undefined}
State House,raymer-r,undefined}
State House,petrie-j,undefined}
State House,duvall-r,undefined}
State House,heavrin-s,undefined}
State House,meredith-m,undefined}
State House,jackson-k,undefined}
State House,neighbors-a,undefined}
State House,mcpherson-s,undefined}
State House,riley-s,undefined}
State House,bivens-r,undefined}
State House,bratcher-s,undefined}
State House,griffee-p,undefined}
State House,tate-n,undefined}
State House,bauman-j,undefined}
State House,lewis-c,undefined}
State House,grossberg-d,undefined}
State House,tyler_witten-s,undefined}
State House,bojanowski-t,undefined}
State House,nemes-j,undefined}
State House,stalker-s,undefined}
State House,willner-l,undefined}
State House,hodgson-j,undefined}
State House,callaway-e,undefined}
State House,roarx-r,undefined}
State House,lockett-m,undefined}
State House,kulkarni-n,undefined}
State House,marzian-m,undefined}
State House,watkins-j,undefined}
State House,stevenson-p,undefined}
State House,chesterburton-b,undefined}
State House,moore-a,undefined}
State House,gentry-a,undefined}
State House,rabourn-f,undefined}
State House,fleming-k,undefined}
State House,huff-t,undefined}
State House,massaroni-c,undefined}
State House,pollock-m,undefined}
State House,upchurch-k,undefined}
State House,tipton-j,undefined}
State House,elliott-d,undefined}
State House,king-k,undefined}
State House,fister-d,undefined}
State House,hancock-e,undefined}
State House,henson_decker-j,undefined}
State House,osborne-d,undefined}
State House,proctor-m,undefined}
State House,maddox-s,undefined}
State House,hampton-t,undefined}
State House,banta-k,undefined}
State House,moser-k,undefined}
State House,dietz-s,undefined}
State House,roberts-t,undefined}
State House,lehman-m,undefined}
State House,clines-m,undefined}
State House,doan-s,undefined}
State House,lawrence-w,undefined}
State House,bray-j,undefined}
State House,koch-m,undefined}
State House,dotson-r,undefined}
State House,hale-d,undefined}
State House,burke-l,undefined}
State House,donworth-a,undefined}
State House,brown-g,undefined}
State House,hart-m,undefined}
State House,aull-c,undefined}
State House,meade-d,undefined}
State House,frazier_gordon-d,undefined}
State House,wilson-n,undefined}
State House,branscum-j,undefined}
State House,fugate-c,undefined}
State House,baker-s,undefined}
State House,smith-t,undefined}
State House,bowling-a,undefined}
State House,grossl-v,undefined}
State House,truett-t,undefined}
State House,lewis-d,undefined}
State House,wesley-b,undefined}
State House,blanton-j,undefined}
State House,camuel-a,undefined}
State House,whitaker-m,undefined}
State House,tackett_laferty-a,undefined}
State House,flannery-p,undefined}
State House,mccool-b,undefined}
State House,thompson-a,undefined}
State House,white-r,undefined}
State House,sharp-s,undefined}
Amendment,yes,undefined}
Amendment,no,undefined}
Supreme Court,goodwine-p,undefined}
