office,won,votes
President,harris-k,undefined}
President,harris-k,undefined}
President,trump-d,undefined}
U.S. Senate,king-a,undefined}
U.S. House,pingree-c,undefined}
U.S. House,golden-j,undefined}
State Senate,bernard-s,undefined}
State Senate,stewart-h,undefined}
State Senate,farrin-b,undefined}
State Senate,guerin-s,undefined}
State Senate,black-r,undefined}
State Senate,moore-m,undefined}
State Senate,grohoski-n,undefined}
State Senate,,undefined}
State Senate,baldacci-j,undefined}
State Senate,haggan-d,undefined}
State Senate,curry-g,undefined}
State Senate,beebecenter-a,undefined}
State Senate,reny-c,undefined}
State Senate,hickman-c,undefined}
State Senate,bradstreet-r,undefined}
State Senate,cyrway-s,undefined}
State Senate,timberlake-j,undefined}
State Senate,bennett-r,undefined}
State Senate,martin-j,undefined}
State Senate,bickford-b,undefined}
State Senate,rotundo-m,undefined}
State Senate,libby-j,undefined}
State Senate,daughtry-m,undefined}
State Senate,tepler-d,undefined}
State Senate,pierce-t,undefined}
State Senate,nangle-t,undefined}
State Senate,duson-j,undefined}
State Senate,ross-r,undefined}
State Senate,carney-a,undefined}
State Senate,brenner-s,undefined}
State Senate,bailey-d,undefined}
State Senate,ingwersen-h,undefined}
State Senate,harrington-m,undefined}
State Senate,rafferty-j,undefined}
State Senate,lawrence-m,undefined}
State House,daigle-l,undefined}
State House,albert-r,undefined}
State House,babin-m,undefined}
State House,guerrette-t,undefined}
State House,underwood-j,undefined}
State House,ardell-d,undefined}
State House,swallow-g,undefined}
State House,quint-t,undefined}
State House,mingo-a,undefined}
State House,tuell-w,undefined}
State House,strout-t,undefined}
State House,faulkingham-b,undefined}
State House,white-r,undefined}
State House,friedmann-g,undefined}
State House,eaton-h,undefined}
State House,milliken-n,undefined}
State House,bishop-s,undefined}
State House,mcintyre-m,undefined}
State House,campbell-r,undefined}
State House,ohalloran-d,undefined}
State House,rana-a,undefined}
State House,supica-l,undefined}
State House,roeder-a,undefined}
State House,perry-j,undefined}
State House,osher-l,undefined}
State House,dill-j,undefined}
State House,drinkwater-g,undefined}
State House,gifford-i,undefined}
State House,javner-k,undefined}
State House,white-j,undefined}
State House,perkins-c,undefined}
State House,foster-s,undefined}
State House,fredette-k,undefined}
State House,griffin-a,undefined}
State House,thorne-j,undefined}
State House,haggan-k,undefined}
State House,paul-r,undefined}
State House,hymes-b,undefined}
State House,dodge-j,undefined}
State House,ray-d,undefined}
State House,doudera-v,undefined}
State House,geiger-v,undefined}
State House,matlack-a,undefined}
State House,pluecker-w,undefined}
State House,simmons-a,undefined}
State House,crafts-l,undefined}
State House,farrin-w,undefined}
State House,stover-h,undefined}
State House,hepler-a,undefined}
State House,sinclair-d,undefined}
State House,macias-r,undefined}
State House,,undefined}
State House,lemelin-m,undefined}
State House,montell-k,undefined}
State House,shagoury-d,undefined}
State House,greenwood-r,undefined}
State House,hasenfus-t,undefined}
State House,,undefined}
State House,rollins-d,undefined}
State House,bridgeo-w,undefined}
State House,collins-a,undefined}
State House,smith-k,undefined}
State House,flynn-p,undefined}
State House,debrito-f,undefined}
State House,julia-c,undefined}
State House,nutting-r,undefined}
State House,rudnicki-s,undefined}
State House,collamore-a,undefined}
State House,cray-d,undefined}
State House,poirier-j,undefined}
State House,ducharme-j,undefined}
State House,caruso-e,undefined}
State House,soboleski-m,undefined}
State House,hall-r,undefined}
State House,,undefined}
State House,lyman-s,undefined}
State House,schmersalburgess-t,undefined}
State House,henderson-r,undefined}
State House,lance-m,undefined}
State House,jackson-c,undefined}
State House,,undefined}
State House,wadsworth-n,undefined}
State House,cimino-m,undefined}
State House,walker-m,undefined}
State House,pomerleau-k,undefined}
State House,olsen-r,undefined}
State House,boyer-d,undefined}
State House,chapman-q,undefined}
State House,lee-a,undefined}
State House,libby-l,undefined}
State House,morris-j,undefined}
State House,wood-s,undefined}
State House,mccabe-j,undefined}
State House,cloutier-k,undefined}
State House,abdi-m,undefined}
State House,,undefined}
State House,mason-r,undefined}
State House,,undefined}
State House,golek-c,undefined}
State House,ankeles-d,undefined}
State House,arford-p,undefined}
State House,sachs-m,undefined}
State House,bell-a,undefined}
State House,arata-a,undefined}
State House,graham-a,undefined}
State House,bagshaw-b,undefined}
State House,cooper-m,undefined}
State House,terry-p,undefined}
State House,sato-e,undefined}
State House,mitchell-c,undefined}
State House,kuhn-a,undefined}
State House,crockett-w,undefined}
State House,lookner-g,undefined}
State House,pugh-d,undefined}
State House,brennan-m,undefined}
State House,zager-s,undefined}
State House,moonen-m,undefined}
State House,yusuf-y,undefined}
State House,skold-c,undefined}
State House,dhalac-d,undefined}
State House,kessler-c,undefined}
State House,beck-m,undefined}
State House,boyer-m,undefined}
State House,warren-s,undefined}
State House,murphy-k,undefined}
State House,gattine-a,undefined}
State House,rielly-m,undefined}
State House,salisbury-s,undefined}
State House,archer-m,undefined}
State House,copeland-l,undefined}
State House,gramlich-l,undefined}
State House,fecteau-r,undefined}
State House,malon-m,undefined}
State House,gere-t,undefined}
State House,sayre-d,undefined}
State House,eder-j,undefined}
State House,carlow-n,undefined}
State House,blier-m,undefined}
State House,woodsome-d,undefined}
State House,parry-w,undefined}
State House,kidder-p,undefined}
State House,mastraccio-a,undefined}
State House,fredericks-a,undefined}
State House,adams-j,undefined}
State House,foley-r,undefined}
State House,runte-w,undefined}
State House,sargent-h,undefined}
State House,lavigne-t,undefined}
State House,roberts-t,undefined}
State House,meyer-m,undefined}
State House,mathieson-k,undefined}
Question,yes,undefined}
Question,yes,undefined}
Question,yes,undefined}
Question,yes,undefined}
Question,no,undefined}
Sheriff,merry-j,undefined}
