office,won,votes
President,harris-k,undefined}
U.S. Senate,warren-e,undefined}
U.S. House,neal-r,undefined}
U.S. House,mcgovern-j,undefined}
U.S. House,trahan-l,undefined}
U.S. House,auchincloss-j,undefined}
U.S. House,clark-k,undefined}
U.S. House,moulton-s,undefined}
U.S. House,pressley-a,undefined}
U.S. House,lynch-s,undefined}
U.S. House,keating-b,undefined}
State Senate,rodrigues-m,undefined}
State Senate,payano-p,undefined}
State Senate,tarr-b,undefined}
State Senate,kennedy-e,undefined}
State Senate,oconnor-p,undefined}
State Senate,collins-n,undefined}
State Senate,kennedy-r,undefined}
State Senate,montigny-m,undefined}
State Senate,lovely-j,undefined}
State Senate,finegold-b,undefined}
State Senate,jehlen-p,undefined}
State Senate,brady-m,undefined}
State Senate,miranda-l,undefined}
State Senate,moore-m,undefined}
State Senate,dooner-k,undefined}
State Senate,crighton-b,undefined}
State Senate,barrett-m,undefined}
State Senate,edwards-l,undefined}
State Senate,friedman-c,undefined}
State Senate,lewis-j,undefined}
State Senate,mark-p,undefined}
State Senate,feeney-p,undefined}
State Senate,cyr-j,undefined}
State Senate,gomez-a,undefined}
State Senate,velis-j,undefined}
State Senate,oliveira-j,undefined}
State Senate,comerford-j,undefined}
State Senate,spilka-k,undefined}
State Senate,didomenico-s,undefined}
State Senate,eldridge-j,undefined}
State Senate,creem-c,undefined}
State Senate,keenan-j,undefined}
State Senate,driscoll-w,undefined}
State Senate,rush-m,undefined}
State Senate,rausch-r,undefined}
State Senate,fernandes-d,undefined}
State Senate,brownsberger-w,undefined}
State Senate,fattman-r,undefined}
State Senate,durant-p,undefined}
State Senate,cronin-j,undefined}
State House,flanagan-c,undefined}
State House,barrett-j,undefined}
State House,,undefined}
State House,shand-d,undefined}
State House,blais-n,undefined}
State House,smola-t,undefined}
State House,sabadosa-l,undefined}
State House,scarsdale-m,undefined}
State House,ayers-b,undefined}
State House,badger-m,undefined}
State House,madaro-a,undefined}
State House,ferguson-k,undefined}
State House,diggs-k,undefined}
State House,farleybouvier-t,undefined}
State House,hawkins-j,undefined}
State House,kassner-k,undefined}
State House,whipps-s,undefined}
State House,ashe-b,undefined}
State House,gomez-h,undefined}
State House,arciero-j,undefined}
State House,chan-t,undefined}
State House,gaskey-j,undefined}
State House,ryan-d,undefined}
State House,zlotnik-j,undefined}
State House,vieira-d,undefined}
State House,davis-l,undefined}
State House,doherty-c,undefined}
State House,vargas-a,undefined}
State House,boldyga-n,undefined}
State House,domb-m,undefined}
State House,hogan-k,undefined}
State House,mariano-r,undefined}
State House,meschino-j,undefined}
State House,michlewitz-a,undefined}
State House,kushmerek-m,undefined}
State House,luddy-h,undefined}
State House,howitt-s,undefined}
State House,reyes-e,undefined}
State House,pease-k,undefined}
State House,gregoire-d,undefined}
State House,murphy-j,undefined}
State House,kearney-p,undefined}
State House,biele-d,undefined}
State House,higgins-n,undefined}
State House,xiarhos-s,undefined}
State House,thurber-j,undefined}
State House,ferrante-a,undefined}
State House,duffy-p,undefined}
State House,linsky-d,undefined}
State House,cusack-m,undefined}
State House,decoste-d,undefined}
State House,worrell-c,undefined}
State House,berthiaume-d,undefined}
State House,fiola-c,undefined}
State House,parisella-j,undefined}
State House,finn-m,undefined}
State House,sousa-p,undefined}
State House,galvin-w,undefined}
State House,sweezey-k,undefined}
State House,holmes-r,undefined}
State House,marsi-j,undefined}
State House,silvia-a,undefined}
State House,cruz-m,undefined}
State House,saunders-a,undefined}
State House,lewis-j,undefined}
State House,wells-r,undefined}
State House,sullivanalmeida-a,undefined}
State House,tyler-c,undefined}
State House,frost-p,undefined}
State House,,undefined}
State House,armini-j,undefined}
State House,arriaga-s,undefined}
State House,arenaderosa-j,undefined}
State House,philips-t,undefined}
State House,,undefined}
State House,livingstone-j,undefined}
State House,soter-m,undefined}
State House,markey-c,undefined}
State House,wong-d,undefined}
State House,ramos-o,undefined}
State House,stanley-t,undefined}
State House,vaughn-m,undefined}
State House,plouffe-b,undefined}
State House,moran-j,undefined}
State House,muradian-d,undefined}
State House,sylvia-m,undefined}
State House,cahill-d,undefined}
State House,gonzalez-c,undefined}
State House,lawn-j,undefined}
State House,roy-j,undefined}
State House,dubois-m,undefined}
State House,macgregor-w,undefined}
State House,murray-b,undefined}
State House,hendricks-c,undefined}
State House,reid-s,undefined}
State House,williams-b,undefined}
State House,mah_sangiolo-a,undefined}
State House,mcmurtry-p,undefined}
State House,mendes-r,undefined}
State House,garcia-j,undefined}
State House,kane-h,undefined}
State House,orrall-n,undefined}
State House,walsh-t,undefined}
State House,puppolo-a,undefined}
State House,schwartz-g,undefined}
State House,rogers-j,undefined}
State House,lanatra-k,undefined}
State House,fluker_oakley-b,undefined}
State House,kilcoyne-m,undefined}
State House,cabral-a,undefined}
State House,kerans-s,undefined}
State House,gentile-c,undefined}
State House,tarsky-j,undefined}
State House,hunt-d,undefined}
State House,mahoney-j,undefined}
State House,scanlon-a,undefined}
State House,ramos-a,undefined}
State House,cataldo-s,undefined}
State House,peisch-a,undefined}
State House,consalvo-r,undefined}
State House,oday-j,undefined}
State House,hamilton-r,undefined}
State House,ciccolo-m,undefined}
State House,vitolo-t,undefined}
State House,montano-s,undefined}
State House,keefe-m,undefined}
State House,paulino-f,undefined}
State House,elliott-r,undefined}
State House,giannino-j,undefined}
State House,donahue-d,undefined}
State House,moran-f,undefined}
State House,howard-v,undefined}
State House,honan-k,undefined}
State House,leboeuf-d,undefined}
State House,nguyen-t,undefined}
State House,hong-t,undefined}
State House,moran-m,undefined}
State House,mckenna-j,undefined}
State House,robertson-d,undefined}
State House,turco-j,undefined}
State House,donaghue-k,undefined}
State House,jones-b,undefined}
State House,gordon-k,undefined}
State House,lombardo-m,undefined}
State House,garballey-s,undefined}
State House,rogers-d,undefined}
State House,decker-m,undefined}
State House,connolly-m,undefined}
State House,uyterhoeven-e,undefined}
State House,mcgonagle-j,undefined}
State House,owens-s,undefined}
State House,haggerty-r,undefined}
State House,day-m,undefined}
State House,lippergarabedian-k,undefined}
State House,ultrino-s,undefined}
State House,barber-c,undefined}
State House,donato-p,undefined}
State House,garry-c,undefined}
State House,sena-d,undefined}
State House,moakley-t,undefined}
Question,yes,undefined}
Question,yes,undefined}
Question,yes,undefined}
Question,no,undefined}
Question,no,undefined}
County Commissioner,lyons-s,forest-m,undefined}
County Commissioner,mitchell-j,ruggiero-j,undefined}
County Commissioner,hanley-g,valanzola-j,undefined}
Governor’s Council,ferreira-j,undefined}
Governor’s Council,civil-t,undefined}
Governor’s Council,dolan-m,undefined}
Governor’s Council,iannella-c,undefined}
Governor’s Council,zeigler-e,undefined}
Governor’s Council,kennedy-t,undefined}
Governor’s Council,depalo-p,undefined}
Governor’s Council,jacobs-t,undefined}
