office,won,votes
President,trump-d,undefined}
U.S. Senate,slotkin-e,undefined}
U.S. House,bergman-j,undefined}
U.S. House,moolenaar-j,undefined}
U.S. House,scholten-h,undefined}
U.S. House,huizenga-b,undefined}
U.S. House,walberg-t,undefined}
U.S. House,dingell-d,undefined}
U.S. House,barrett-t,undefined}
U.S. House,mcdonald_rivet-k,undefined}
U.S. House,mcclain-l,undefined}
U.S. House,james-j,undefined}
U.S. House,stevens-h,undefined}
U.S. House,tlaib-r,undefined}
U.S. House,thanedar-s,undefined}
State House,carter-t,undefined}
State House,liberati-t,undefined}
State House,farhat-a,undefined}
State House,whitsett-k,undefined}
State House,weiss-r,undefined}
State House,price-n,undefined}
State House,phillips-t,undefined}
State House,scott-h,undefined}
State House,tate-j,undefined}
State House,paiz-v,undefined}
State House,mckinney-d,undefined}
State House,edwards-k,undefined}
State House,xiong-m,undefined}
State House,mcfall-m,undefined}
State House,byrnes-e,undefined}
State House,young-s,undefined}
State House,pohutsky-l,undefined}
State House,hoskins-j,undefined}
State House,steckloff-s,undefined}
State House,arbit-n,undefined}
State House,breen-k,undefined}
State House,koleszar-m,undefined}
State House,morgan-j,undefined}
State House,puri-r,undefined}
State House,herzberg-p,undefined}
State House,wegela-d,undefined}
State House,linting-r,undefined}
State House,thompson-j,undefined}
State House,desana-j,undefined}
State House,bruck-w,undefined}
State House,miller-r,undefined}
State House,wilson-j,undefined}
State House,foreman-m,undefined}
State House,jenkinsarno-n,undefined}
State House,wortz-j,undefined}
State House,carra-s,undefined}
State House,paquette-b,undefined}
State House,andrews-j,undefined}
State House,wendzel-p,undefined}
State House,longjohn-m,undefined}
State House,rogers-j,undefined}
State House,hall-m,undefined}
State House,smit-r,undefined}
State House,frisbie-s,undefined}
State House,lightner-s,undefined}
State House,schmaltz-k,undefined}
State House,rheingans-c,undefined}
State House,conlin-j,undefined}
State House,bollin-a,undefined}
State House,woolford-j,undefined}
State House,maddock-m,undefined}
State House,harris-m,undefined}
State House,carter-b,undefined}
State House,steele-d,undefined}
State House,tisdel-m,undefined}
State House,macdonell-s,undefined}
State House,kuhn-t,undefined}
State House,robinson-r,undefined}
State House,wozniak-d,undefined}
State House,aragona-j,undefined}
State House,mentzer-d,undefined}
State House,st_germaine-a,undefined}
State House,deboyer-j,undefined}
State House,pavlov-j,undefined}
State House,greene-j,undefined}
State House,schriver-j,undefined}
State House,green-p,undefined}
State House,martin-d,undefined}
State House,martus-j,undefined}
State House,neeley-c,undefined}
State House,begole-b,undefined}
State House,mueller-m,undefined}
State House,brixie-j,undefined}
State House,hope-k,undefined}
State House,tsernoglou-p,undefined}
State House,witwer-a,undefined}
State House,dievendorf-e,undefined}
State House,johnsen-g,undefined}
State House,rigas-a,undefined}
State House,skaggs-p,undefined}
State House,wooden-s,undefined}
State House,grant-k,undefined}
State House,fitzgerald-j,undefined}
State House,glanville-c,undefined}
State House,slagh-b,undefined}
State House,deboer-n,undefined}
State House,snyder-w,undefined}
State House,vanwoerkom-g,undefined}
State House,meerman-l,undefined}
State House,posthumus-b,undefined}
State House,outman-p,undefined}
State House,neyer-j,undefined}
State House,kelly-t,undefined}
State House,oneal-a,undefined}
State House,schuette-b,undefined}
State House,beson-t,undefined}
State House,bierlein-m,undefined}
State House,alexander-g,undefined}
State House,hoadley-m,undefined}
State House,kunse-t,undefined}
State House,fox-j,undefined}
State House,vanderwall-c,undefined}
State House,coffia-b,undefined}
State House,roth-j,undefined}
State House,borton-k,undefined}
State House,cavitt-c,undefined}
State House,fairbairn-p,undefined}
State House,prestin-d,undefined}
State House,bohnak-k,undefined}
State House,markkanen-g,undefined}
Board of Governors,busuito-m,reddy-s,undefined}
Board of Regents,ilitch-d,meyers-c,undefined}
Board of Trustees,baharcook-r,balow-m,undefined}
State Board of Education,snyder-n,mcmillin-t,undefined}
Supreme Court,harris_bolden-k,undefined}
Supreme Court,thomas-k,undefined}
