office,won,votes
President,harris-k,undefined}
U.S. Senate,klobuchar-a,undefined}
U.S. House,finstad-b,undefined}
U.S. House,craig-a,undefined}
U.S. House,morrison-k,undefined}
U.S. House,mccollum-b,undefined}
U.S. House,omar-i,undefined}
U.S. House,emmer-t,undefined}
U.S. House,fischbach-m,undefined}
U.S. House,stauber-p,undefined}
State Senate,johnson_stewart-a,undefined}
State House,burkel-j,undefined}
State House,gander-s,undefined}
State House,duran-b,undefined}
State House,bliss-m,undefined}
State House,skraba-r,undefined}
State House,zeleznikar-n,undefined}
State House,keeler-h,undefined}
State House,joy-j,undefined}
State House,knudsen-k,undefined}
State House,wiener-m,undefined}
State House,davis-b,undefined}
State House,heintzeman-j,undefined}
State House,igo-s,undefined}
State House,warwas-c,undefined}
State House,johnson-p,undefined}
State House,kozlowski-a,undefined}
State House,backer-j,undefined}
State House,murphy-t,undefined}
State House,kresha-r,undefined}
State House,schultz-i,undefined}
State House,dotseth-j,undefined}
State House,nelson-n,undefined}
State House,anderson-p,undefined}
State House,franson-m,undefined}
State House,demuth-l,undefined}
State House,odriscoll-t,undefined}
State House,perryman-b,undefined}
State House,,undefined}
State House,swedzinski-c,undefined}
State House,torkelson-p,undefined}
State House,van_binsbergen-s,undefined}
State House,baker-d,undefined}
State House,gillman-d,undefined}
State House,harder-b,undefined}
State House,schwartz-e,undefined}
State House,frederick-l,undefined}
State House,allen-k,undefined}
State House,sexton-t,undefined}
State House,altendorf-p,undefined}
State House,jacob-s,undefined}
State House,schomacker-j,undefined}
State House,fogelman-m,undefined}
State House,olson-b,undefined}
State House,stier-t,undefined}
State House,bennett-p,undefined}
State House,mueller-p,undefined}
State House,quam-d,undefined}
State House,liebling-t,undefined}
State House,hicks-k,undefined}
State House,smith-a,undefined}
State House,repinski-a,undefined}
State House,davids-g,undefined}
State House,mekeland-s,undefined}
State House,lawrence-b,undefined}
State House,gordon-j,undefined}
State House,rymer-m,undefined}
State House,mcdonald-j,undefined}
State House,rarick-m,undefined}
State House,hudson-w,undefined}
State House,novotny-p,undefined}
State House,niska-h,undefined}
State House,scott-p,undefined}
State House,west-n,undefined}
State House,norris-m,undefined}
State House,anderson-p,undefined}
State House,hill-j,undefined}
State House,nadeau-d,undefined}
State House,hortman-m,undefined}
State House,stephenson-z,undefined}
State House,rehrauer-k,undefined}
State House,engen-e,undefined}
State House,curran-b,undefined}
State House,robbins-k,undefined}
State House,bahner-k,undefined}
State House,hiltsley-h,undefined}
State House,vang-s,undefined}
State House,koegel-e,undefined}
State House,feist-s,undefined}
State House,moller-k,undefined}
State House,johnson-c,undefined}
State House,johnson-w,undefined}
State House,dippel-t,undefined}
State House,carroll-n,undefined}
State House,klevorn-g,undefined}
State House,frazier-c,undefined}
State House,freiberg-m,undefined}
State House,fischer-p,undefined}
State House,lillie-l,undefined}
State House,myers-a,undefined}
State House,acomb-p,undefined}
State House,kraft-l,undefined}
State House,youakim-c,undefined}
State House,hemmingsenjaeger-a,undefined}
State House,cha-e,undefined}
State House,nash-j,undefined}
State House,rehm-l,undefined}
State House,falconer-a,undefined}
State House,kotyzawitthuhn-c,undefined}
State House,greene-j,undefined}
State House,elkins-s,undefined}
State House,howard-m,undefined}
State House,coulter-n,undefined}
State House,reyer-l,undefined}
State House,virnig-b,undefined}
State House,clardy-m,undefined}
State House,hansen-r,undefined}
State House,,undefined}
State House,bakeberg-b,undefined}
State House,hanson-j,undefined}
State House,berg-k,undefined}
State House,bierman-r,undefined}
State House,huot-j,undefined}
State House,koznick-j,undefined}
State House,witte-j,undefined}
State House,pursell-k,undefined}
State House,roach-d,undefined}
State House,lee-f,undefined}
State House,agbaje-e,undefined}
State House,jordan-s,undefined}
State House,noor-m,undefined}
State House,jones-k,undefined}
State House,long-j,undefined}
State House,gomez-a,undefined}
State House,mahamoud-a,undefined}
State House,sencermura-s,undefined}
State House,greenman-e,undefined}
State House,her-k,undefined}
State House,pinto-d,undefined}
State House,hussein-s,undefined}
State House,perezvega-m,undefined}
State House,finke-l,undefined}
State House,hollins-a,undefined}
State House,lee-l,undefined}
State House,xiong-j,undefined}
Amendment,yes,undefined}
Supreme Court,hudson-n,undefined}
Supreme Court,mckeig-a,undefined}
Supreme Court,procaccini-k,undefined}
