office,won,votes
President,trump-d,undefined}
U.S. Senate,hawley-j,undefined}
Governor,kehoe-m,undefined}
U.S. House,bell-w,undefined}
U.S. House,wagner-a,undefined}
U.S. House,onder-b,undefined}
U.S. House,alford-m,undefined}
U.S. House,cleaver-e,undefined}
U.S. House,graves-s,undefined}
U.S. House,burlison-e,undefined}
U.S. House,smith-j,undefined}
Lieutenant Governor,wasinger-d,undefined}
Attorney General,bailey-a,undefined}
State Senate,beck-d,undefined}
State Senate,henderson-m,undefined}
State Senate,roberts-s,undefined}
State Senate,lewis-p,undefined}
State Senate,washington-b,undefined}
State Senate,nicola-j,undefined}
State Senate,walton_mosley-a,undefined}
State Senate,gregory-d,undefined}
State Senate,nurrenbern-m,undefined}
State Senate,webber-s,undefined}
State Senate,gregory-k,undefined}
State Senate,schnelting-a,undefined}
State Senate,bean-j,undefined}
State Senate,burger-j,undefined}
State Senate,moon-m,undefined}
State Senate,brattin-r,undefined}
State Senate,hudson-b,undefined}
State House,farnan-j,undefined}
State House,christensen-m,undefined}
State House,busick-d,undefined}
State House,sharpe-g,undefined}
State House,riggs-l,undefined}
State House,lewis-e,undefined}
State House,mcgaugh-p,undefined}
State House,hurlbert-j,undefined}
State House,vanschoiack-d,undefined}
State House,falkner-b,undefined}
State House,shields-b,undefined}
State House,jones-m,undefined}
State House,pouche-s,undefined}
State House,aune-a,undefined}
State House,jamison-k,undefined}
State House,brown-c,undefined}
State House,allen-b,undefined}
State House,woods-e,undefined}
State House,thomas-w,undefined}
State House,steinmeyer-m,undefined}
State House,jobe-w,undefined}
State House,young-y,undefined}
State House,johnson-m,undefined}
State House,weber-e,undefined}
State House,mansur-p,undefined}
State House,price-t,undefined}
State House,douglas-m,undefined}
State House,barnes-d,undefined}
State House,crossley-a,undefined}
State House,patterson-j,undefined}
State House,fowler-r,undefined}
State House,coleman-j,undefined}
State House,caton-c,undefined}
State House,strickler-k,undefined}
State House,ingle-k,undefined}
State House,ealy-a,undefined}
State House,sharp-m,undefined}
State House,jacobs-m,undefined}
State House,meirath-m,undefined}
State House,perkins-c,undefined}
State House,justus-d,undefined}
State House,myers-j,undefined}
State House,haden-k,undefined}
State House,martin-j,undefined}
State House,steinhoff-k,undefined}
State House,smith-d,undefined}
State House,plank-a,undefined}
State House,taylor-t,undefined}
State House,schulte-j,undefined}
State House,bush-g,undefined}
State House,nolte-m,undefined}
State House,pollitt-b,undefined}
State House,thompson-t,undefined}
State House,phelps-b,undefined}
State House,irwin-w,undefined}
State House,davis-m,undefined}
State House,reedy-r,undefined}
State House,haley-w,undefined}
State House,veit-r,undefined}
State House,griffith-d,undefined}
State House,sassmann-b,undefined}
State House,gallick-s,undefined}
State House,byrnes-t,undefined}
State House,self-d,undefined}
State House,hausman-w,undefined}
State House,terry-m,undefined}
State House,rush-t,undefined}
State House,smith-k,undefined}
State House,miller-s,undefined}
State House,boykin-s,undefined}
State House,appelbaum-l,undefined}
State House,clemens-d,undefined}
State House,proudie-r,undefined}
State House,smith-m,undefined}
State House,mosley-c,undefined}
State House,anderson-m,undefined}
State House,collins-k,undefined}
State House,murray-m,undefined}
State House,bosley-l,undefined}
State House,fuchs-e,undefined}
State House,butz-s,undefined}
State House,kimble-n,undefined}
State House,reed-r,undefined}
State House,taylor-d,undefined}
State House,fountain_henderson-y,undefined}
State House,hales-j,undefined}
State House,steinmetz-c,undefined}
State House,jones-h,undefined}
State House,hruza-g,undefined}
State House,boyko-m,undefined}
State House,doll-j,undefined}
State House,burton-m,undefined}
State House,walsh_moore-b,undefined}
State House,murphy-j,undefined}
State House,odonnell-m,undefined}
