office,won,votes
President,trump-d,undefined}
U.S. Senate,sheehy-t,undefined}
Governor,gianforte-g,undefined}
U.S. House,zinke-r,undefined}
U.S. House,downing-t,undefined}
Attorney General,knudsen-a,undefined}
State Senate,fern-d,undefined}
State Senate,glimm-c,undefined}
State Senate,regier-m,undefined}
State Senate,hertz-g,undefined}
State Senate,kassmier-j,undefined}
State Senate,hunter-g,undefined}
State Senate,windy_boy-j,undefined}
State Senate,phalen-b,undefined}
State Senate,vinton-s,undefined}
State Senate,lammers-g,undefined}
State Senate,yakawich-m,undefined}
State Senate,mcgillvray-t,undefined}
State Senate,ricci-v,undefined}
State Senate,neumann-c,undefined}
State Senate,pope-c,undefined}
State Senate,tezak-t,undefined}
State Senate,novak-s,undefined}
State Senate,harvey-d,undefined}
State Senate,beard-b,undefined}
State Senate,galt-w,undefined}
State Senate,smith-l,undefined}
State Senate,manzella-t,undefined}
State Senate,loge-d,undefined}
State Senate,morigeau-j,undefined}
State Senate,hill_boldman-e,undefined}
State House,duram-n,undefined}
State House,millett-t,undefined}
State House,powers-d,undefined}
State House,bennett-l,undefined}
State House,mitchell-b,undefined}
State House,regier-a,undefined}
State House,sprunger-c,undefined}
State House,schubert-l,undefined}
State House,kelly-s,undefined}
State House,falk-t,undefined}
State House,byrne-e,undefined}
State House,sharp-t,undefined}
State House,reksten-l,undefined}
State House,fielder-p,undefined}
State House,crowe-t,undefined}
State House,running_wolf-t,undefined}
State House,wirth-z,undefined}
State House,jones-l,undefined}
State House,weber-j,undefined}
State House,nikolakakos-m,undefined}
State House,buttrey-e,undefined}
State House,nikolakakos-g,undefined}
State House,tilleman-e,undefined}
State House,fitzpatrick-s,undefined}
State House,gist-s,undefined}
State House,miner-r,undefined}
State House,tuss-p,undefined}
State House,albus-e,undefined}
State House,moore-v,undefined}
State House,thiel-m,undefined}
State House,smith-f,undefined}
State House,fox-m,undefined}
State House,ler-b,undefined}
State House,schillinger-j,undefined}
State House,parry-g,undefined}
State House,kmetz-g,undefined}
State House,klakken-s,undefined}
State House,oblander-g,undefined}
State House,seekinscrowe-k,undefined}
State House,vinton-m,undefined}
State House,sooktis-j,undefined}
State House,fitzpatrick-s,undefined}
State House,brewster-l,undefined}
State House,zolnikov-k,undefined}
State House,baum-d,undefined}
State House,kerrcarpenter-e,undefined}
State House,reavis-j,undefined}
State House,schomer-c,undefined}
State House,essmann-s,undefined}
State House,nicastro-a,undefined}
State House,etchart-j,undefined}
State House,mercer-b,undefined}
State House,nicol-n,undefined}
State House,deming-l,undefined}
State House,barker-b,undefined}
State House,nave-f,undefined}
State House,,undefined}
State House,isaly-j,undefined}
State House,stafman-e,undefined}
State House,griffith-a,undefined}
State House,edwards-b,undefined}
State House,seckinger-j,undefined}
State House,strand-p,undefined}
State House,kortum-k,undefined}
State House,close-b,undefined}
State House,matthews-e,undefined}
State House,hinkle-j,undefined}
State House,hinkle-c,undefined}
State House,walsh-k,undefined}
State House,maness-s,undefined}
State House,demarois-s,undefined}
State House,hawk-d,undefined}
State House,lynch-j,undefined}
State House,lee-m,undefined}
State House,bertoglio-m,undefined}
State House,fitzpatrick-j,undefined}
State House,gillette-j,undefined}
State House,gregg-r,undefined}
State House,muszkiewicz-l,undefined}
State House,romano-m,undefined}
State House,caferro-m,undefined}
State House,elverum-p,undefined}
State House,cohenour-j,undefined}
State House,dooling-j,undefined}
State House,love-k,undefined}
State House,bedey-d,undefined}
State House,marshall-r,undefined}
State House,overstreet-g,undefined}
State House,thane-m,undefined}
State House,cochran-c,undefined}
State House,fyant-s,undefined}
State House,keogh-c,undefined}
State House,sullivan-k,undefined}
State House,marler-m,undefined}
State House,zephyr-z,undefined}
State House,carter-b,undefined}
State House,cunningham-m,undefined}
State House,karlen-j,undefined}
State House,france-t,undefined}
State House,howell-s,undefined}
Constitutional Amendment,no,undefined}
Constitutional Amendment,no,undefined}
Constitutional Amendment,yes,undefined}
Auditor,brown-j,undefined}
Secretary of State,jacobsen-c,undefined}
Superintendent of Public Education,hedalen-s,undefined}
Supreme Court,swanson-c,undefined}
Supreme Court,bidegaray-k,undefined}
Supreme Court Clerk,greenwood-b,undefined}
Public Service Commission,molnar-b,undefined}
Public Service Commission,welborn-j,undefined}
Public Service Commission,fielder-j,undefined}
