office,won,votes
President,trump-d,undefined}
President,trump-d,undefined}
President,harris-k,undefined}
President,trump-d,undefined}
U.S. Senate,fischer-d,undefined}
U.S. Senate,ricketts-p,undefined}
U.S. House,flood-m,undefined}
U.S. House,bacon-d,undefined}
U.S. House,smith-a,undefined}
State Legislature,hallstrom-r,undefined}
State Legislature,rountree-v,undefined}
State Legislature,juarez-m,undefined}
State Legislature,guereca-d,undefined}
State Legislature,cavanaugh-j,undefined}
State Legislature,mckinney-t,undefined}
State Legislature,spivey-a,undefined}
State Legislature,wordekemper-d,undefined}
State Legislature,meyer-g,undefined}
State Legislature,dover-r,undefined}
State Legislature,ballard-b,undefined}
State Legislature,storm-j,undefined}
State Legislature,bosn-c,undefined}
State Legislature,prokop-j,undefined}
State Legislature,bostar-e,undefined}
State Legislature,kauth-k,undefined}
State Legislature,lonowski-d,undefined}
State Legislature,quick-d,undefined}
State Legislature,clouse-s,undefined}
State Legislature,sorrentino-t,undefined}
State Legislature,mckeon-d,undefined}
State Legislature,storer-t,undefined}
State Legislature,sanders-r,undefined}
State Legislature,strommen-p,undefined}
State Legislature,andersen-b,undefined}
Initiative,for,undefined}
Initiative,for,undefined}
Initiative,for,undefined}
Initiative,for,undefined}
Initiative,against,undefined}
Referendum,repeal,undefined}
Public Service Commission,watermeier-d,undefined}
Public Service Commission,schram-t,undefined}
