office,won,votes
President,trump-d,undefined}
U.S. Senate,rosen-j,undefined}
U.S. House,titus-d,undefined}
U.S. House,amodei-m,undefined}
U.S. House,lee-s,undefined}
U.S. House,horsford-s,undefined}
State Senate,crawford-m,undefined}
State Senate,nguyen-r,undefined}
State Senate,neal-d,undefined}
State Senate,buck-c,undefined}
State Senate,cannizzaro-n,undefined}
State Senate,lange-r,undefined}
State Senate,rogich-l,undefined}
State Senate,taylor-a,undefined}
State Senate,steinbeck-j,undefined}
State Senate,ellison-j,undefined}
State Assembly,monroemoreno-d,undefined}
State Assembly,kasama-h,undefined}
State Assembly,torres-s,undefined}
State Assembly,cole-l,undefined}
State Assembly,miller-b,undefined}
State Assembly,jackson-j,undefined}
State Assembly,flanagan-t,undefined}
State Assembly,nguyen-d,undefined}
State Assembly,yeager-s,undefined}
State Assembly,karris-v,undefined}
State Assembly,moore-c,undefined}
State Assembly,carter-m,undefined}
State Assembly,hibbetts-b,undefined}
State Assembly,mosca-e,undefined}
State Assembly,watts-h,undefined}
State Assembly,gonzalez-c,undefined}
State Assembly,hunt-l,undefined}
State Assembly,considine-v,undefined}
State Assembly,yurek-t,undefined}
State Assembly,orentlicher-d,undefined}
State Assembly,marzola-e,undefined}
State Assembly,hardy-m,undefined}
State Assembly,gallant-d,undefined}
State Assembly,roth-e,undefined}
State Assembly,la_rue_hatch-s,undefined}
State Assembly,delong-r,undefined}
State Assembly,goulding-h,undefined}
State Assembly,dsilva-r,undefined}
State Assembly,dalia-j,undefined}
State Assembly,anderson-n,undefined}
State Assembly,dickman-j,undefined}
State Assembly,hansen-a,undefined}
State Assembly,gurr-b,undefined}
State Assembly,nadeem-h,undefined}
State Assembly,edgeworth-r,undefined}
State Assembly,hafen-g,undefined}
State Assembly,backus-s,undefined}
State Assembly,koenig-g,undefined}
State Assembly,gray-k,undefined}
State Assembly,oneill-p,undefined}
State Assembly,jauregui-s,undefined}
State Assembly,brownmay-t,undefined}
Question,no,undefined}
Question,yes,undefined}
Question,no,undefined}
Question,yes,undefined}
Question,yes,undefined}
Question,yes,undefined}
Question,yes,undefined}
Supreme Court,cadish-e,undefined}
Supreme Court,lee-p,undefined}
Supreme Court,stiglich-l,undefined}
County Commissioner,hill-a,undefined}
County Commissioner,andriola-c,undefined}
