office,won,votes
President,harris-k,undefined}
U.S. Senate,heinrich-m,undefined}
U.S. House,stansbury-m,undefined}
U.S. House,vasquez-g,undefined}
U.S. House,leger_fernandez-t,undefined}
State Senate,sharer-w,undefined}
State Senate,lanier-s,undefined}
State Senate,pinto-s,undefined}
State Senate,munoz-g,undefined}
State Senate,jaramillo-l,undefined}
State Senate,gonzales-r,undefined}
State Senate,woods-p,undefined}
State Senate,campos-p,undefined}
State Senate,nava-c,undefined}
State Senate,duhigg-k,undefined}
State Senate,lopez-l,undefined}
State Senate,block-j,undefined}
State Senate,omalley-m,undefined}
State Senate,padilla-m,undefined}
State Senate,berghmans-h,undefined}
State Senate,lopez-a,undefined}
State Senate,stewart-m,undefined}
State Senate,figueroa-n,undefined}
State Senate,thornton-a,undefined}
State Senate,hickey-m,undefined}
State Senate,tobiassen-n,undefined}
State Senate,shendo-b,undefined}
State Senate,pope-h,undefined}
State Senate,trujillo-l,undefined}
State Senate,wirth-p,undefined}
State Senate,maestas-a,undefined}
State Senate,boone-p,undefined}
State Senate,ramos-g,undefined}
State Senate,sanchez-j,undefined}
State Senate,charley-a,undefined}
State Senate,cervantes-j,undefined}
State Senate,spence_ezzell-c,undefined}
State Senate,paul-n,undefined}
State Senate,townsend-j,undefined}
State Senate,diamond_brantley-c,undefined}
State Senate,steinborn-j,undefined}
State Senate,soules-w,undefined}
State Senate,hamblen-c,undefined}
State Senate,stefanics-e,undefined}
State Senate,brandt-c,undefined}
State Senate,gallegos-d,undefined}
State Senate,scott-l,undefined}
State House,montoya-r,undefined}
State House,duncan-p,undefined}
State House,hall-w,undefined}
State House,hernandez-j,undefined}
State House,johnson-d,undefined}
State House,alcon-e,undefined}
State House,mirabal_moya-t,undefined}
State House,baca-b,undefined}
State House,lundstrom-p,undefined}
State House,romero-g,undefined}
State House,martinez-j,undefined}
State House,de_la_cruz-a,undefined}
State House,roybal_caballero-p,undefined}
State House,garcia-m,undefined}
State House,hochmanvigil-d,undefined}
State House,gurrola_valenzuela-y,undefined}
State House,borrego-c,undefined}
State House,anaya-m,undefined}
State House,anyanonu-j,undefined}
State House,dixon-m,undefined}
State House,sarinana-d,undefined}
State House,lord-s,undefined}
State House,martinez-a,undefined}
State House,thomson-e,undefined}
State House,parajon-c,undefined}
State House,chavez-e,undefined}
State House,matthews-m,undefined}
State House,herndon-p,undefined}
State House,garratt-j,undefined}
State House,torresvelasquez-e,undefined}
State House,chavez-n,undefined}
State House,jones-j,undefined}
State House,cadena-m,undefined}
State House,lara-r,undefined}
State House,rubio-a,undefined}
State House,small-n,undefined}
State House,ferrary-j,undefined}
State House,dow-r,undefined}
State House,terrazas-l,undefined}
State House,sanchez-j,undefined}
State House,herrera-s,undefined}
State House,ortez-k,undefined}
State House,chandler-c,undefined}
State House,cates-k,undefined}
State House,serrato-l,undefined}
State House,romero-a,undefined}
State House,szczepanski-r,undefined}
State House,lujan-t,undefined}
State House,armstrong-g,undefined}
State House,mcqueen-m,undefined}
State House,block-j,undefined}
State House,gallegos-d,undefined}
State House,silva-s,undefined}
State House,henry-j,undefined}
State House,brown-c,undefined}
State House,vincent-h,undefined}
State House,cullen-c,undefined}
State House,mejia-a,undefined}
State House,hembree-j,undefined}
State House,hernandez-j,undefined}
State House,pettigrew-r,undefined}
State House,sena_cortez-e,undefined}
State House,zamora-m,undefined}
State House,reeb-a,undefined}
State House,lente-d,undefined}
State House,mason-j,undefined}
State House,chatfield-j,undefined}
State House,little-c,undefined}
State House,abeyta-m,undefined}
State House,gonzales-a,undefined}
Bond Measure,for,undefined}
Bond Measure,for,undefined}
Bond Measure,for,undefined}
Bond Measure,for,undefined}
Constitutional Amendment,for,undefined}
Constitutional Amendment,for,undefined}
Constitutional Amendment,for,undefined}
Constitutional Amendment,for,undefined}
District Attorney,carmackaltwies-m,undefined}
District Attorney,bregman-s,undefined}
