office,won,votes
President,harris-k,undefined}
U.S. Senate,gillibrand-k,undefined}
U.S. House,lalota-n,undefined}
U.S. House,garbarino-a,undefined}
U.S. House,suozzi-t,undefined}
U.S. House,gillen-l,undefined}
U.S. House,meeks-g,undefined}
U.S. House,meng-g,undefined}
U.S. House,velazquez-n,undefined}
U.S. House,jeffries-h,undefined}
U.S. House,clarke-y,undefined}
U.S. House,goldman-d,undefined}
U.S. House,malliotakis-n,undefined}
U.S. House,nadler-j,undefined}
U.S. House,espaillat-a,undefined}
U.S. House,ocasiocortez-a,undefined}
U.S. House,torres-r,undefined}
U.S. House,latimer-g,undefined}
U.S. House,lawler-m,undefined}
U.S. House,ryan-p,undefined}
U.S. House,riley-j,undefined}
U.S. House,tonko-p,undefined}
U.S. House,stefanik-e,undefined}
U.S. House,mannion-j,undefined}
U.S. House,langworthy-n,undefined}
U.S. House,tenney-c,undefined}
U.S. House,morelle-j,undefined}
U.S. House,kennedy-t,undefined}
State Senate,palumbo-a,undefined}
State Senate,mattera-m,undefined}
State Senate,murray-d,undefined}
State Senate,martinez-m,undefined}
State Senate,rhoads-s,undefined}
State Senate,bynoe-s,undefined}
State Senate,martins-j,undefined}
State Senate,weik-a,undefined}
State Senate,canzonerifitzpatrick-p,undefined}
State Senate,sanders-j,undefined}
State Senate,stavisky-t,undefined}
State Senate,gianaris-m,undefined}
State Senate,ramos-j,undefined}
State Senate,comrie-l,undefined}
State Senate,addabbo-j,undefined}
State Senate,liu-j,undefined}
State Senate,chan-s,undefined}
State Senate,salazar-j,undefined}
State Senate,persaud-r,undefined}
State Senate,myrie-z,undefined}
State Senate,parker-k,undefined}
State Senate,felder-s,undefined}
State Senate,scarcellaspanton-j,undefined}
State Senate,lanza-a,undefined}
State Senate,brisport-j,undefined}
State Senate,gounardes-a,undefined}
State Senate,kavanagh-b,undefined}
State Senate,krueger-l,undefined}
State Senate,serrano-j,undefined}
State Senate,cleare-c,undefined}
State Senate,jackson-r,undefined}
State Senate,sepulveda-l,undefined}
State Senate,rivera-g,undefined}
State Senate,fernandez-n,undefined}
State Senate,stewartcousins-a,undefined}
State Senate,bailey-j,undefined}
State Senate,mayer-s,undefined}
State Senate,weber-w,undefined}
State Senate,rolison-r,undefined}
State Senate,harckham-p,undefined}
State Senate,hinchey-m,undefined}
State Senate,skoufis-j,undefined}
State Senate,ashby-j,undefined}
State Senate,tedisco-j,undefined}
State Senate,stec-d,undefined}
State Senate,fahy-p,undefined}
State Senate,hoylmansigal-b,undefined}
State Senate,may-r,undefined}
State Senate,walczyk-m,undefined}
State Senate,,undefined}
State Senate,oberacker-p,undefined}
State Senate,webb-l,undefined}
State Senate,griffo-j,undefined}
State Senate,helming-p,undefined}
State Senate,brouk-s,undefined}
State Senate,cooney-j,undefined}
State Senate,borrello-g,undefined}
State Senate,omara-t,undefined}
State Senate,gonzalez-k,undefined}
State Senate,gallivan-p,undefined}
State Senate,ryan-s,undefined}
State Senate,ortt-r,undefined}
State Senate,mccantsbaskin-a,undefined}
State Assembly,schiavoni-t,undefined}
State Assembly,giglio-j,undefined}
State Assembly,de_stefano-j,undefined}
State Assembly,,undefined}
State Assembly,smith-d,undefined}
State Assembly,ramos-p,undefined}
State Assembly,gandolfo-j,undefined}
State Assembly,fitzpatrick-m,undefined}
State Assembly,durso-m,undefined}
State Assembly,stern-s,undefined}
State Assembly,,undefined}
State Assembly,brown-k,undefined}
State Assembly,lavine-c,undefined}
State Assembly,mcdonough-d,undefined}
State Assembly,blumencranz-j,undefined}
State Assembly,,undefined}
State Assembly,mikulin-j,undefined}
State Assembly,burroughs-n,undefined}
State Assembly,ra-e,undefined}
State Assembly,brown-e,undefined}
State Assembly,griffin-j,undefined}
State Assembly,solages-m,undefined}
State Assembly,,undefined}
State Assembly,weprin-d,undefined}
State Assembly,rozic-n,undefined}
State Assembly,braunstein-e,undefined}
State Assembly,berger-s,undefined}
State Assembly,hevesi-a,undefined}
State Assembly,hyndman-a,undefined}
State Assembly,raga-s,undefined}
State Assembly,anderson-k,undefined}
State Assembly,cook-v,undefined}
State Assembly,vanel-c,undefined}
State Assembly,gonzalezrojas-j,undefined}
State Assembly,hooks-l,undefined}
State Assembly,mamdani-z,undefined}
State Assembly,valdez-c,undefined}
State Assembly,rajkumar-j,undefined}
State Assembly,cruz-c,undefined}
State Assembly,kim-r,undefined}
State Assembly,yeger-k,undefined}
State Assembly,bichotte-r,undefined}
State Assembly,cunningham-b,undefined}
State Assembly,carroll-r,undefined}
State Assembly,,undefined}
State Assembly,brookkrasny-a,undefined}
State Assembly,colton-w,undefined}
State Assembly,eichenstein-s,undefined}
State Assembly,chang-l,undefined}
State Assembly,gallagher-e,undefined}
State Assembly,mitaynes-m,undefined}
State Assembly,simon-j,undefined}
State Assembly,davila-m,undefined}
State Assembly,dilan-e,undefined}
State Assembly,walker-l,undefined}
State Assembly,zinerman-s,undefined}
State Assembly,forrest-p,undefined}
State Assembly,chandlerwaterman-m,undefined}
State Assembly,williams-j,undefined}
State Assembly,lucas-n,undefined}
State Assembly,fall-c,undefined}
State Assembly,reilly-m,undefined}
State Assembly,pirozzolo-s,undefined}
State Assembly,tannousis-m,undefined}
State Assembly,lee-g,undefined}
State Assembly,glick-d,undefined}
State Assembly,rosenthal-l,undefined}
State Assembly,gibbs-e,undefined}
State Assembly,lasher-m,undefined}
State Assembly,wright-j,undefined}
State Assembly,taylor-a,undefined}
State Assembly,de_los_santos-m,undefined}
State Assembly,bores-a,undefined}
State Assembly,epstein-h,undefined}
State Assembly,simone-t,undefined}
State Assembly,seawright-r,undefined}
State Assembly,dais-l,undefined}
State Assembly,alvarez-g,undefined}
State Assembly,jackson-c,undefined}
State Assembly,zaccaro-j,undefined}
State Assembly,dinowitz-j,undefined}
State Assembly,benedetto-m,undefined}
State Assembly,heastie-c,undefined}
State Assembly,septimo-a,undefined}
State Assembly,torres-e,undefined}
State Assembly,tapia-y,undefined}
State Assembly,reyes-k,undefined}
State Assembly,paulin-a,undefined}
State Assembly,pretlow-g,undefined}
State Assembly,sayegh-n,undefined}
State Assembly,otis-s,undefined}
State Assembly,shimsky-m,undefined}
State Assembly,burdick-c,undefined}
State Assembly,slater-m,undefined}
State Assembly,levenberg-d,undefined}
State Assembly,carroll-p,undefined}
State Assembly,wieder-a,undefined}
State Assembly,brabenec-k,undefined}
State Assembly,eachus-c,undefined}
State Assembly,kay-p,undefined}
State Assembly,maher-b,undefined}
State Assembly,tague-c,undefined}
State Assembly,shrestha-s,undefined}
State Assembly,jacobson-j,undefined}
State Assembly,beephan-a,undefined}
State Assembly,barrett-d,undefined}
State Assembly,bendett-s,undefined}
State Assembly,mcdonald-j,undefined}
State Assembly,romero-g,undefined}
State Assembly,steck-p,undefined}
State Assembly,santabarbara-a,undefined}
State Assembly,walsh-m,undefined}
State Assembly,woerner-c,undefined}
State Assembly,simpson-m,undefined}
State Assembly,jones-b,undefined}
State Assembly,gray-s,undefined}
State Assembly,blankenbush-k,undefined}
State Assembly,smullen-r,undefined}
