office,won,votes
President,trump-d,undefined}
Governor,stein-j,undefined}
U.S. House,davis-d,undefined}
U.S. House,ross-d,undefined}
U.S. House,murphy-g,undefined}
U.S. House,foushee-v,undefined}
U.S. House,foxx-v,undefined}
U.S. House,mcdowell-a,undefined}
U.S. House,rouzer-d,undefined}
U.S. House,harris-m,undefined}
U.S. House,hudson-r,undefined}
U.S. House,harrigan-p,undefined}
U.S. House,edwards-c,undefined}
U.S. House,adams-a,undefined}
U.S. House,knott-b,undefined}
U.S. House,moore-t,undefined}
Lieutenant Governor,hunt-r,undefined}
Attorney General,jackson-j,undefined}
State Senate,hanig-b,undefined}
State Senate,sanderson-n,undefined}
State Senate,brinson-b,undefined}
State Senate,newton-b,undefined}
State Senate,smith-k,undefined}
State Senate,lazzara-m,undefined}
State Senate,lee-m,undefined}
State Senate,rabon-b,undefined}
State Senate,jackson-b,undefined}
State Senate,sawrey-b,undefined}
State Senate,barnes-l,undefined}
State Senate,burgin-j,undefined}
State Senate,grafstein-l,undefined}
State Senate,blue-d,undefined}
State Senate,chaudhuri-j,undefined}
State Senate,adcock-g,undefined}
State Senate,batch-s,undefined}
State Senate,,undefined}
State Senate,applewhite-v,undefined}
State Senate,murdock-n,undefined}
State Senate,mcinnis-t,undefined}
State Senate,chitlik-s,undefined}
State Senate,meyer-g,undefined}
State Senate,britt-d,undefined}
State Senate,galey-a,undefined}
State Senate,berger-p,undefined}
State Senate,garrett-m,undefined}
State Senate,robinson-g,undefined}
State Senate,craven-d,undefined}
State Senate,jarvis-s,undefined}
State Senate,jones-d,undefined}
State Senate,lowe-p,undefined}
State Senate,ford-c,undefined}
State Senate,newton-p,undefined}
State Senate,johnson-t,undefined}
State Senate,settle-e,undefined}
State Senate,sawyer-v,undefined}
State Senate,mohammed-m,undefined}
State Senate,salvador-d,undefined}
State Senate,waddell-j,undefined}
State Senate,theodros-c,undefined}
State Senate,,undefined}
State Senate,overcash-b,undefined}
State Senate,alexander-t,undefined}
State Senate,hollo-m,undefined}
State Senate,daniel-w,undefined}
State Senate,hise-r,undefined}
State Senate,moffitt-t,undefined}
State Senate,mayfield-j,undefined}
State Senate,corbin-k,undefined}
State House,goodwin-e,undefined}
State House,jeffers-r,undefined}
State House,tyson-s,undefined}
State House,dixon-j,undefined}
State House,ward-b,undefined}
State House,pike-j,undefined}
State House,winslow-m,undefined}
State House,brown-g,undefined}
State House,reeder-t,undefined}
State House,bell-j,undefined}
State House,dahle-a,undefined}
State House,humphrey-c,undefined}
State House,cairns-c,undefined}
State House,gable-w,undefined}
State House,shepard-p,undefined}
State House,smith-c,undefined}
State House,iler-f,undefined}
State House,butler-d,undefined}
State House,miller-c,undefined}
State House,davis-t,undefined}
State House,liu-y,undefined}
State House,brisson-w,undefined}
State House,willingham-s,undefined}
State House,pittman-d,undefined}
State House,chesser-a,undefined}
State House,mcdowell_white-d,undefined}
State House,pierce-r,undefined}
State House,strickland-l,undefined}
State House,alston-v,undefined}
State House,morey-m,undefined}
State House,hawkins-z,undefined}
State House,,undefined}
State House,johnsonhostler-m,undefined}
State House,longest-t,undefined}
State House,schietzelt-m,undefined}
State House,von_haefen-j,undefined}
State House,pare-e,undefined}
State House,jones-a,undefined}
State House,roberson-j,undefined}
State House,john-j,undefined}
State House,cervania-m,undefined}
State House,colvin-m,undefined}
State House,wheatley-d,undefined}
State House,smith-c,undefined}
State House,jackson-f,undefined}
State House,jones-b,undefined}
State House,lowery-j,undefined}
State House,pierce-g,undefined}
State House,ball-c,undefined}
State House,price-r,undefined}
State House,sauls-j,undefined}
State House,moss-b,undefined}
State House,penny-h,undefined}
State House,reives-r,undefined}
State House,brody-m,undefined}
State House,buansi-a,undefined}
State House,clark-t,undefined}
State House,quick-a,undefined}
State House,branson-a,undefined}
State House,brockman-c,undefined}
State House,harrison-m,undefined}
State House,blust-j,undefined}
State House,ross-s,undefined}
State House,riddell-d,undefined}
State House,pyrtle-r,undefined}
State House,crawford-s,undefined}
State House,huneycutt-c,undefined}
State House,willis-d,undefined}
State House,arp-d,undefined}
State House,biggs-b,undefined}
State House,brown-k,undefined}
State House,baker-a,undefined}
State House,almond-j,undefined}
State House,zenger-j,undefined}
State House,lambeth-d,undefined}
State House,warren-h,undefined}
State House,howard-j,undefined}
State House,jackson-n,undefined}
State House,kidwell-k,undefined}
State House,watford-s,undefined}
State House,potts-l,undefined}
State House,echevarria-b,undefined}
State House,campbell-g,undefined}
State House,mcneely-j,undefined}
State House,greene-d,undefined}
State House,blackwell-h,undefined}
State House,hall-d,undefined}
State House,belk-m,undefined}
State House,setzer-m,undefined}
State House,stevens-s,undefined}
State House,hall-k,undefined}
State House,brown-t,undefined}
State House,pickett-r,undefined}
State House,eddins-b,undefined}
State House,carver-r,undefined}
State House,adams-j,undefined}
State House,rhyne-h,undefined}
State House,helfrich-b,undefined}
State House,majeed-n,undefined}
State House,greenfield-j,undefined}
State House,logan-c,undefined}
State House,carney-b,undefined}
State House,budd-l,undefined}
State House,lofton-b,undefined}
State House,,undefined}
State House,cunningham-c,undefined}
State House,dew-a,undefined}
State House,torbett-j,undefined}
State House,loftis-d,undefined}
