office,won,votes
President,trump-d,undefined}
U.S. Senate,cramer-k,undefined}
Governor,armstrong-k,undefined}
U.S. House,fedorchak-j,undefined}
State Senate,enget-m,undefined}
State Senate,walen-c,undefined}
State Senate,thomas-p,undefined}
State Senate,magrum-j,undefined}
State Senate,marcellais-r,undefined}
State Senate,,undefined}
State Senate,conley-c,undefined}
State Senate,klein-j,undefined}
State Senate,weston-k,undefined}
State Senate,clemens-d,undefined}
State Senate,meyer-s,undefined}
State Senate,lemm-r,undefined}
State Senate,weber-m,undefined}
State Senate,wobbema-m,undefined}
State Senate,patten-d,undefined}
State Senate,erbele-r,undefined}
State Senate,larson-d,undefined}
State Senate,dever-d,undefined}
State Senate,gerhardt-j,undefined}
State Senate,van_oosting-d,undefined}
State Senate,hogue-d,undefined}
State Senate,castaneda-j,undefined}
State Senate,cory-c,undefined}
State Senate,boschee-j,undefined}
State Senate,powers-m,undefined}
State House,anderson-b,longmuir-d,undefined}
State House,anderson-d,vollmer-d,undefined}
State House,olson-s,berg-m,undefined}
State House,davis-j,undefined}
State House,swiontek-s,hendrix-j,undefined}
State House,satrom-b,ostlie-m,undefined}
State House,nelson-j,weisz-r,undefined}
State House,frelich-k,henderson-d,undefined}
State House,marschall-a,koppelman-b,undefined}
State House,vetter-s,undefined}
State House,beltz-m,hagert-j,undefined}
State House,pyle-b,warrey-j,undefined}
State House,nehring-d,undefined}
State House,kiefert-d,johnston-d,undefined}
State House,olson-j,maki-r,undefined}
State House,brandenburg-m,grueneich-j,undefined}
State House,nathe-m,bosch-g,undefined}
State House,heinert-p,meier-l,undefined}
State House,toman-n,porter-t,undefined}
State House,hauck-d,dressler-t,undefined}
State House,wolff-c,ruby-d,undefined}
State House,ruby-m,bolinske-m,undefined}
State House,obrien-e,osowski-d,undefined}
State House,hanson-k,foss-a,undefined}
State House,morton-d,kasper-j,undefined}
State House,finleydeville-l,undefined}
State House,fegley-c,undefined}
Measure,yes,undefined}
Measure,no,undefined}
Measure,yes,undefined}
Measure,no,undefined}
Measure,no,undefined}
Auditor,gallion-j,undefined}
Insurance Commissioner,godfread-j,undefined}
Public Service Commission,christmann-r,undefined}
Superintendent of Public Instruction,baesler-k,undefined}
Treasurer,beadle-t,undefined}
