office,won,votes
President,trump-d,undefined}
U.S. Senate,moreno-b,undefined}
U.S. House,landsman-g,undefined}
U.S. House,taylor-d,undefined}
U.S. House,beatty-j,undefined}
U.S. House,jordan-j,undefined}
U.S. House,latta-b,undefined}
U.S. House,rulli-m,undefined}
U.S. House,miller-m,undefined}
U.S. House,davidson-w,undefined}
U.S. House,kaptur-m,undefined}
U.S. House,turner-m,undefined}
U.S. House,brown-s,undefined}
U.S. House,balderson-t,undefined}
U.S. House,sykes-e,undefined}
U.S. House,joyce-d,undefined}
U.S. House,carey-m,undefined}
State Senate,gavarone-t,undefined}
State Senate,lang-g,undefined}
State Senate,blackshear-w,undefined}
State Senate,blessing-l,undefined}
State Senate,koehler-k,undefined}
State Senate,manchester-s,undefined}
State Senate,johnson-t,undefined}
State Senate,liston-b,undefined}
State Senate,cirino-j,undefined}
State Senate,schaffer-t,undefined}
State Senate,romanchuk-m,undefined}
State Senate,patton-t,undefined}
State Senate,reineke-b,undefined}
State Senate,weinstein-c,undefined}
State Senate,chavez-b,undefined}
State Senate,obrien-s,undefined}
State Senate,cutrona-a,undefined}
State House,jarrells-d,undefined}
State House,humphrey-l,undefined}
State House,mohamed-i,undefined}
State House,piccolantonio-b,undefined}
State House,lawsonrowe-m,undefined}
State House,cockley-c,undefined}
State House,russo-a,undefined}
State House,somani-a,undefined}
State House,abdullahi-m,undefined}
State House,sigrist-m,undefined}
State House,lett-c,undefined}
State House,stewart-b,undefined}
State House,rader-t,undefined}
State House,brennan-s,undefined}
State House,glassburn-c,undefined}
State House,sweeney-b,undefined}
State House,dovilla-m,undefined}
State House,brent-j,undefined}
State House,robinson-p,undefined}
State House,upchurch-t,undefined}
State House,synenberg-e,undefined}
State House,brewer-d,undefined}
State House,troy-d,undefined}
State House,isaacsohn-d,undefined}
State House,thomas-c,undefined}
State House,denson-s,undefined}
State House,baker-r,undefined}
State House,brownlee-k,undefined}
State House,abrams-c,undefined}
State House,odioso-m,undefined}
State House,roemer-b,undefined}
State House,daniels-j,undefined}
State House,sims-v,undefined}
State House,hall-d,undefined}
State House,demetriou-s,undefined}
State House,white-a,undefined}
State House,young-t,undefined}
State House,tims-d,undefined}
State House,plummer-p,undefined}
State House,creech-r,undefined}
State House,white-e,undefined}
State House,rogers-e,undefined}
State House,grim-m,undefined}
State House,williams-j,undefined}
State House,gross-j,undefined}
State House,hall-t,undefined}
State House,mullins-d,undefined}
State House,oelslager-s,undefined}
State House,thomas-j,undefined}
State House,kishman-m,undefined}
State House,salvo-j,undefined}
State House,manning-g,undefined}
State House,miller-j,undefined}
State House,deeter-k,undefined}
State House,teska-c,undefined}
State House,mathews-a,undefined}
State House,callender-j,undefined}
State House,mcnally-l,undefined}
State House,fischer-t,undefined}
State House,lorenz-b,undefined}
State House,lear-b,undefined}
State House,schmidt-j,undefined}
State House,bird-a,undefined}
State House,santucci-n,undefined}
State House,thomas-d,undefined}
State House,ray-s,undefined}
State House,miller-m,undefined}
State House,claggett-t,undefined}
State House,miller-k,undefined}
State House,lampton-b,undefined}
State House,dean-l,undefined}
State House,workman-h,undefined}
State House,lare-j,undefined}
State House,willis-b,undefined}
State House,ghanbari-h,undefined}
State House,john-m,undefined}
State House,craig-m,undefined}
State House,huffman-m,undefined}
State House,robb_blasdel-m,undefined}
State House,newman-j,undefined}
State House,hoops-j,undefined}
State House,klopfenstein-r,undefined}
State House,mathews-t,undefined}
State House,king-a,undefined}
State House,barhorst-t,undefined}
State House,richardson-t,undefined}
State House,mcclain-r,undefined}
State House,click-g,undefined}
State House,swearingen-d,undefined}
State House,pizzulli-j,undefined}
State House,peterson-b,undefined}
State House,johnson-m,undefined}
State House,stephens-j,undefined}
State House,ritter-k,undefined}
State House,jones-d,undefined}
State House,ferguson-r,undefined}
State House,holmes-a,undefined}
State House,hiner-m,undefined}
State House,fowler_arthur-s,undefined}
Issue,no,undefined}
Supreme Court,shanahan-m,undefined}
Supreme Court,deters-j,undefined}
Supreme Court,hawkins-d,undefined}
