office,won,votes
President,trump-d,undefined}
U.S. House,hern-k,undefined}
U.S. House,brecheen-j,undefined}
U.S. House,lucas-f,undefined}
U.S. House,cole-t,undefined}
U.S. House,bice-s,undefined}
State Senate,bergstrom-m,undefined}
State Senate,mcintosh-j,undefined}
State Senate,burns-g,undefined}
State Senate,hamilton-w,undefined}
State Senate,frix-a,undefined}
State Senate,goodwin-r,undefined}
State Senate,wingard-j,undefined}
State Senate,standridge-l,undefined}
State Senate,jett-s,undefined}
State Senate,pederson-r,undefined}
State Senate,grellner-r,undefined}
State Senate,paxton-l,undefined}
State Senate,guthrie-b,undefined}
State Senate,murdock-c,undefined}
State Senate,daniels-j,undefined}
State Senate,kern-s,undefined}
State Senate,gillespie-c,undefined}
State Senate,dossett-j,undefined}
State Senate,reinhardt-a,undefined}
State Senate,rader-d,undefined}
State Senate,pugh-a,undefined}
State Senate,sacchieri-k,undefined}
State Senate,rosino-p,undefined}
State Senate,mann-m,undefined}
State Senate,hines-k,undefined}
State Senate,nice-n,undefined}
State House,dempsey-e,undefined}
State House,olsen-j,undefined}
State House,west-r,undefined}
State House,culver-b,undefined}
State House,west-j,undefined}
State House,cornwell-r,undefined}
State House,bashore-s,undefined}
State House,gann-t,undefined}
State House,lepak-m,undefined}
State House,strom-j,undefined}
State House,kane-j,undefined}
State House,chapman-m,undefined}
State House,hays-n,undefined}
State House,sneed-c,undefined}
State House,turner-t,undefined}
State House,fetgatter-s,undefined}
State House,grego-j,undefined}
State House,smith-d,undefined}
State House,humphrey-j,undefined}
State House,wilk-j,undefined}
State House,maynard-c,undefined}
State House,eaves-r,undefined}
State House,hildebrant-d,undefined}
State House,banning-c,undefined}
State House,johns-r,undefined}
State House,kerbs-d,undefined}
State House,sterling-d,undefined}
State House,williams-d,undefined}
State House,hilbert-k,undefined}
State House,lawson-m,undefined}
State House,duel-c,undefined}
State House,shaw-j,undefined}
State House,jenkins-m,undefined}
State House,ranson-t,undefined}
State House,burns-t,undefined}
State House,george-j,undefined}
State House,luttrell-k,undefined}
State House,pfeiffer-j,undefined}
State House,harris-e,undefined}
State House,caldwell-c,undefined}
State House,hader-d,undefined}
State House,roe-c,undefined}
State House,steagall-j,undefined}
State House,deck-j,undefined}
State House,menz-a,undefined}
State House,rosecrants-j,undefined}
State House,hill-b,undefined}
State House,townley-t,undefined}
State House,cantrell-j,undefined}
State House,adams-s,undefined}
State House,boles-b,undefined}
State House,kendrix-g,undefined}
State House,blair-j,undefined}
State House,west-k,undefined}
State House,archer-n,undefined}
State House,lowe-d,undefined}
State House,moore-a,undefined}
State House,newton-c,undefined}
State House,dobrinski-m,undefined}
State House,kelley-m,undefined}
State House,patzkowsky-k,undefined}
State House,pae-d,undefined}
State House,caldwell-t,undefined}
State House,worthen-r,undefined}
State House,hasenbeck-t,undefined}
State House,staires-c,undefined}
State House,hall-r,undefined}
State House,lay-m,undefined}
State House,tedford-m,undefined}
State House,schreiber-s,undefined}
State House,swope-a,undefined}
State House,mccane-m,undefined}
State House,stewart-r,undefined}
State House,vancuren-m,undefined}
State House,marti-t,undefined}
State House,ford-r,undefined}
State House,waldron-j,undefined}
State House,blancett-m,undefined}
State House,provenzano-m,undefined}
State House,may-s,undefined}
State House,osburn-m,undefined}
State House,miller-n,undefined}
State House,roberts-e,undefined}
State House,west-t,undefined}
State House,munson-c,undefined}
State House,hardin-d,undefined}
State House,hefner-e,undefined}
State House,pogemiller-e,undefined}
State House,alonso-a,undefined}
State House,gise-e,undefined}
State House,kannady-c,undefined}
State House,bennett-f,undefined}
State House,dollens-m,undefined}
State House,fugate-a,undefined}
State House,wolfley-m,undefined}
State House,stinson-p,undefined}
State House,lowe-j,undefined}
State House,woolley-g,undefined}
State House,pittman-a,undefined}
State House,stark-m,undefined}
State House,manger-r,undefined}
Question,no,undefined}
Question,yes,undefined}
Corporation Commissioner,bingman-j,undefined}
