office,won,votes
President,harris-k,undefined}
U.S. House,bonamici-s,undefined}
U.S. House,bentz-c,undefined}
U.S. House,dexter-m,undefined}
U.S. House,hoyle-v,undefined}
U.S. House,bynum-j,undefined}
U.S. House,salinas-a,undefined}
Attorney General,rayfield-d,undefined}
State Senate,smith-d,undefined}
State Senate,robinson-n,undefined}
State Senate,anderson-d,undefined}
State Senate,girod-f,undefined}
State Senate,starr-b,undefined}
State Senate,lieber-k,undefined}
State Senate,campos-w,undefined}
State Senate,taylor-k,undefined}
State Senate,frederick-l,undefined}
State Senate,pham-k,undefined}
State Senate,gorsek-c,undefined}
State Senate,broadman-a,undefined}
State Senate,linthicum-d,undefined}
State Senate,nash-t,undefined}
State Senate,mclane-m,undefined}
State House,boice-c,undefined}
State House,osborne-v,undefined}
State House,yunker-d,undefined}
State House,skarlatos-a,undefined}
State House,marsh-p,undefined}
State House,wallan-k,undefined}
State House,lively-j,undefined}
State House,fragala-l,undefined}
State House,wright-b,undefined}
State House,gomberg-d,undefined}
State House,cate-j,undefined}
State House,harbick-d,undefined}
State House,nathanson-n,undefined}
State House,fahey-j,undefined}
State House,boshart_davis-s,undefined}
State House,mcdonald-s,undefined}
State House,diehl-e,undefined}
State House,lewis-r,undefined}
State House,andersen-t,undefined}
State House,evans-p,undefined}
State House,mannix-k,undefined}
State House,,undefined}
State House,scharf-a,undefined}
State House,elmer-l,undefined}
State House,bowman-b,undefined}
State House,neron-c,undefined}
State House,helm-k,undefined}
State House,grayber-d,undefined}
State House,mclain-s,undefined}
State House,sosa-n,undefined}
State House,edwards-d,undefined}
State House,javadi-c,undefined}
State House,jones_isadore-s,undefined}
State House,reynolds-l,undefined}
State House,chaichi-f,undefined}
State House,pham-h,undefined}
State House,walters-j,undefined}
State House,nguyen-d,undefined}
State House,dobson-a,undefined}
State House,hartman-a,undefined}
State House,gamba-m,undefined}
State House,nosse-r,undefined}
State House,sanchez-t,undefined}
State House,nelson-t,undefined}
State House,tran-t,undefined}
State House,chotzen-w,undefined}
State House,valderrama-a,undefined}
State House,nguyen-h,undefined}
State House,hudson-z,undefined}
State House,ruiz-r,undefined}
State House,drazan-c,undefined}
State House,helfrich-j,undefined}
State House,levy-e,undefined}
State House,kropf-j,undefined}
State House,reschke-w,undefined}
State House,mcintire-e,undefined}
State House,smith-g,undefined}
State House,levy-b,undefined}
State House,breeseiverson-v,undefined}
State House,owens-m,undefined}
Measure,yes,undefined}
Measure,no,undefined}
Measure,no,undefined}
Measure,no,undefined}
Measure,yes,undefined}
Secretary of State,read-t,undefined}
Treasurer,steiner-e,undefined}
Mayor,wilson-k,undefined}
