office,won,votes
President,trump-d,undefined}
U.S. Senate,mccormick-d,undefined}
U.S. House,fitzpatrick-b,undefined}
U.S. House,boyle-b,undefined}
U.S. House,evans-d,undefined}
U.S. House,dean-m,undefined}
U.S. House,scanlon-m,undefined}
U.S. House,houlahan-c,undefined}
U.S. House,mackenzie-r,undefined}
U.S. House,bresnahan-r,undefined}
U.S. House,meuser-d,undefined}
U.S. House,perry-s,undefined}
U.S. House,smucker-l,undefined}
U.S. House,lee-s,undefined}
U.S. House,joyce-j,undefined}
U.S. House,reschenthaler-g,undefined}
U.S. House,thompson-g,undefined}
U.S. House,kelly-m,undefined}
U.S. House,deluzio-c,undefined}
Attorney General,sunday-d,undefined}
State Senate,saval-n,undefined}
State Senate,street-s,undefined}
State Senate,picozzi-j,undefined}
State Senate,hughes-v,undefined}
State Senate,kane-j,undefined}
State Senate,schwank-j,undefined}
State Senate,martin-s,undefined}
State Senate,kim-p,undefined}
State Senate,cappelletti-a,undefined}
State Senate,comitta-c,undefined}
State Senate,hutchinson-s,undefined}
State Senate,yaw-g,undefined}
State Senate,dush-c,undefined}
State Senate,schlegel_culver-l,undefined}
State Senate,argall-d,undefined}
State Senate,keefer-d,undefined}
State Senate,mastriano-d,undefined}
State Senate,langerholc-w,undefined}
State Senate,robinson-d,undefined}
State Senate,ward-k,undefined}
State Senate,pittman-j,undefined}
State Senate,costa-j,undefined}
State Senate,pisciottano-n,undefined}
State Senate,vogel-e,undefined}
State Senate,laughlin-d,undefined}
State House,harkins-p,undefined}
State House,merski-b,undefined}
State House,bizzarro-r,undefined}
State House,banta-j,undefined}
State House,weaknecht-e,undefined}
State House,roae-b,undefined}
State House,wentling-p,undefined}
State House,bernstine-a,undefined}
State House,brown-m,undefined}
State House,brown-a,undefined}
State House,mustello-m,undefined}
State House,scialabba-s,undefined}
State House,lawrence-j,undefined}
State House,kozak-r,undefined}
State House,kail-j,undefined}
State House,matzie-r,undefined}
State House,bonner-t,undefined}
State House,tomlinson-k,undefined}
State House,abney-a,undefined}
State House,kinkead-e,undefined}
State House,powell-l,undefined}
State House,siegel-j,undefined}
State House,frankel-d,undefined}
State House,mayes-l,undefined}
State House,markosek-b,undefined}
State House,friel-p,undefined}
State House,deasy-d,undefined}
State House,shaffer-j,undefined}
State House,brennan-t,undefined}
State House,venkat-a,undefined}
State House,warren-p,undefined}
State House,mcandrew-j,undefined}
State House,steele-m,undefined}
State House,salisbury-a,undefined}
State House,gergely-m,undefined}
State House,benham-j,undefined}
State House,fee-m,undefined}
State House,inglis-j,undefined}
State House,kuzma-a,undefined}
State House,mihalek-n,undefined}
State House,miller-b,undefined}
State House,miller-d,undefined}
State House,greiner-k,undefined}
State House,gaydos-v,undefined}
State House,astorino_kulik-a,undefined}
State House,ortitay-j,undefined}
State House,dorsie-j,undefined}
State House,oneal-t,undefined}
State House,smithwadeel-i,undefined}
State House,cook-b,undefined}
State House,grimm_krupa-c,undefined}
State House,warner-r,undefined}
State House,malagari-s,undefined}
State House,scott-g,undefined}
State House,cooper-j,undefined}
State House,rasel-b,undefined}
State House,nelson-e,undefined}
State House,davanzo-e,undefined}
State House,rossi-l,undefined}
State House,major-a,undefined}
State House,hanbidge-l,undefined}
State House,struzzi-j,undefined}
State House,bashline-j,undefined}
State House,james-r,undefined}
State House,rapp-k,undefined}
State House,smith-b,undefined}
State House,causer-m,undefined}
State House,owlett-c,undefined}
State House,walker_metzgar-c,undefined}
State House,bradford-m,undefined}
State House,rigby-j,undefined}
State House,burns-f,undefined}
State House,kephart-d,undefined}
State House,williams-d,undefined}
State House,armanini-m,undefined}
State House,borowicz-s,undefined}
State House,conklin-h,undefined}
State House,topper-j,undefined}
State House,schmitt-l,undefined}
State House,barger-s,undefined}
State House,irvin-r,undefined}
State House,takac-p,undefined}
State House,flick-j,undefined}
State House,hamm-j,undefined}
State House,rowe-d,undefined}
State House,stambaugh-p,undefined}
State House,kutz-t,undefined}
State House,delozier-s,undefined}
State House,kauffman-r,undefined}
State House,reichard-c,undefined}
State House,moul-d,undefined}
State House,anderson-m,undefined}
State House,jones-m,undefined}
State House,fink-w,undefined}
State House,hillevans-c,undefined}
State House,rivera-n,undefined}
State House,mentzer-s,undefined}
State House,jones-t,undefined}
State House,zimmerman-d,undefined}
State House,cutler-b,undefined}
State House,schlegel-j,undefined}
State House,diamond-r,undefined}
State House,davidson-n,undefined}
State House,madsen-d,undefined}
State House,fleming-j,undefined}
State House,mehaffie-t,undefined}
State House,stehr-j,undefined}
