office,won,votes
President,harris-k,undefined}
U.S. Senate,whitehouse-s,undefined}
U.S. House,amo-g,undefined}
U.S. House,magaziner-s,undefined}
State Senate,bissaillon-j,undefined}
State Senate,quezada-a,undefined}
State Senate,zurier-s,undefined}
State Senate,ruggerio-d,undefined}
State Senate,bell-s,undefined}
State Senate,mack-t,undefined}
State Senate,ciccone-f,undefined}
State Senate,urso-l,undefined}
State Senate,burke-j,undefined}
State Senate,felag-w,undefined}
State Senate,ujifusa-l,undefined}
State Senate,dipalma-l,undefined}
State Senate,euer-d,undefined}
State Senate,lawson-v,undefined}
State Senate,kallman-m,undefined}
State Senate,acosta-j,undefined}
State Senate,paolino-t,undefined}
State Senate,britto-r,undefined}
State Senate,pearson-r,undefined}
State Senate,thompson-b,undefined}
State Senate,rogers-g,undefined}
State Senate,tikoian-d,undefined}
State Senate,de_la_cruz-j,undefined}
State Senate,murray-m,undefined}
State Senate,dimitri-a,undefined}
State Senate,patalano-t,undefined}
State Senate,gallo-h,undefined}
State Senate,vargas-l,undefined}
State Senate,appollonio-p,undefined}
State Senate,mckenney-m,undefined}
State Senate,lamountain-m,undefined}
State Senate,lauria-p,undefined}
State Senate,raptakis-l,undefined}
State Senate,morgan-e,undefined}
State Senate,valverde-b,undefined}
State Senate,dimario-a,undefined}
State Senate,sosnowski-v,undefined}
State Senate,gu-v,undefined}
State House,ajello-e,undefined}
State House,blazejewski-c,undefined}
State House,biah-n,undefined}
State House,kislak-r,undefined}
State House,desimone-a,undefined}
State House,hull-r,undefined}
State House,morales-d,undefined}
State House,lombardi-j,undefined}
State House,sanchez-e,undefined}
State House,slater-s,undefined}
State House,diaz-g,undefined}
State House,batista-j,undefined}
State House,perez-r,undefined}
State House,lima-c,undefined}
State House,paplauskas-c,undefined}
State House,potter-b,undefined}
State House,baginski-j,undefined}
State House,handy-a,undefined}
State House,mcnamara-j,undefined}
State House,bennett-d,undefined}
State House,hopkins-m,undefined}
State House,solomon_jr-j,undefined}
State House,shekarchi-j,undefined}
State House,shanley-e,undefined}
State House,noret-t,undefined}
State House,read-e,undefined}
State House,serpa-p,undefined}
State House,nardone-g,undefined}
State House,roberts-s,undefined}
State House,caldwell-j,undefined}
State House,casimiro-j,undefined}
State House,craven-r,undefined}
State House,mcentee-c,undefined}
State House,tanzi-t,undefined}
State House,fogarty-k,undefined}
State House,spears-t,undefined}
State House,azzinaro-s,undefined}
State House,kennedy-b,undefined}
State House,cotter-m,undefined}
State House,chippendale-m,undefined}
State House,quattrocchi-r,undefined}
State House,fascia-r,undefined}
State House,fellela-d,undefined}
State House,costantino-g,undefined}
State House,ackerman-m,undefined}
State House,shallcross_smith-m,undefined}
State House,place-d,undefined}
State House,newberry-b,undefined}
State House,brien-j,undefined}
State House,casey-s,undefined}
State House,phillips-r,undefined}
State House,marszalkowski-a,undefined}
State House,santucci-p,undefined}
State House,obrien-w,undefined}
State House,corvese-a,undefined}
State House,giraldo-j,undefined}
State House,voas-b,undefined}
State House,cruz-c,undefined}
State House,stewart-j,undefined}
State House,alzate-k,undefined}
State House,felix-l,undefined}
State House,duffy_messier-m,undefined}
State House,kazarian-k,undefined}
State House,furtado-j,undefined}
State House,dawson-m,undefined}
State House,boylan-j,undefined}
State House,knight-j,undefined}
State House,speakman-j,undefined}
State House,donovan-s,undefined}
State House,edwards-j,undefined}
State House,mcgaw-m,undefined}
State House,cortvriend-t,undefined}
State House,abney-m,undefined}
State House,finkelman-a,undefined}
State House,carson-l,undefined}
Question,reject,undefined}
Question,approve,undefined}
Question,approve,undefined}
Question,approve,undefined}
Question,approve,undefined}
Mayor,rivera-m,undefined}
Mayor,hopkins-k,undefined}
Mayor,mutter-j,undefined}
Mayor,lombardi-c,undefined}
Mayor,grebien-d,undefined}
Mayor,picozzi-f,undefined}
Mayor,beauchamp-c,undefined}
