office,won,votes
President,trump-d,undefined}
U.S. House,mace-n,undefined}
U.S. House,wilson-j,undefined}
U.S. House,biggs-s,undefined}
U.S. House,timmons-w,undefined}
U.S. House,norman-r,undefined}
U.S. House,clyburn-j,undefined}
U.S. House,fry-r,undefined}
State Senate,alexander-t,undefined}
State Senate,rice-r,undefined}
State Senate,cash-r,undefined}
State Senate,gambrell-m,undefined}
State Senate,corbin-t,undefined}
State Senate,elliott-j,undefined}
State Senate,allen-k,undefined}
State Senate,turner-r,undefined}
State Senate,verdin-d,undefined}
State Senate,garrett-b,undefined}
State Senate,kimbrell-j,undefined}
State Senate,nutt-r,undefined}
State Senate,martin-s,undefined}
State Senate,peeler-h,undefined}
State Senate,climer-w,undefined}
State Senate,johnson-m,undefined}
State Senate,stubbs-e,undefined}
State Senate,cromer-r,undefined}
State Senate,devine-t,undefined}
State Senate,sutton-e,undefined}
State Senate,jackson-d,undefined}
State Senate,walker-o,undefined}
State Senate,kennedy-c,undefined}
State Senate,young-t,undefined}
State Senate,massey-s,undefined}
State Senate,ott-r,undefined}
State Senate,blackmon-a,undefined}
State Senate,hembree-g,undefined}
State Senate,,undefined}
State Senate,williams-k,undefined}
State Senate,reichenbach-m,undefined}
State Senate,sabb-r,undefined}
State Senate,rankin-l,undefined}
State Senate,goldfinch-s,undefined}
State Senate,graham-j,undefined}
State Senate,zell-j,undefined}
State Senate,grooms-l,undefined}
State Senate,bennett-s,undefined}
State Senate,fernandez-t,undefined}
State Senate,hutto-b,undefined}
State Senate,leber-m,undefined}
State Senate,tedder-d,undefined}
State Senate,campsen-c,undefined}
State Senate,adams-b,undefined}
State Senate,matthews-m,undefined}
State Senate,davis-t,undefined}
State House,whitmire-b,undefined}
State House,duncan-a,undefined}
State House,bowers-p,undefined}
State House,hiott-d,undefined}
State House,collins-n,undefined}
State House,cromer-a,undefined}
State House,gilreath-l,undefined}
State House,chapman-d,undefined}
State House,sanders-b,undefined}
State House,beach-t,undefined}
State House,gagnon-c,undefined}
State House,gibson-d,undefined}
State House,mccravy-j,undefined}
State House,rankin-l,undefined}
State House,moore-j,undefined}
State House,willis-m,undefined}
State House,burns-m,undefined}
State House,morgan-a,undefined}
State House,haddon-p,undefined}
State House,frank-s,undefined}
State House,cox-b,undefined}
State House,wickensimer-p,undefined}
State House,dillard-c,undefined}
State House,bannister-b,undefined}
State House,jones-w,undefined}
State House,martin-d,undefined}
State House,vaughan-d,undefined}
State House,huff-c,undefined}
State House,moss-d,undefined}
State House,lawson-b,undefined}
State House,hendersonmyers-r,undefined}
State House,montgomery-s,undefined}
State House,moore-t,undefined}
State House,edgerton-s,undefined}
State House,chumley-b,undefined}
State House,harris-r,undefined}
State House,long-s,undefined}
State House,magnuson-j,undefined}
State House,forrest-c,undefined}
State House,white-j,undefined}
State House,mcdaniel-a,undefined}
State House,gilliam-d,undefined}
State House,ligon-r,undefined}
State House,neese-m,undefined}
State House,newton-b,undefined}
State House,sessions-h,undefined}
State House,pope-t,undefined}
State House,guffey-b,undefined}
State House,king-j,undefined}
State House,wheeler-w,undefined}
State House,weeks-j,undefined}
State House,johnson-j,undefined}
State House,yow-r,undefined}
State House,luck-j,undefined}
State House,hayes-j,undefined}
State House,mcginnis-t,undefined}
State House,atkinson-l,undefined}
State House,johnson-j,undefined}
State House,alexander-t,undefined}
State House,lowe-p,undefined}
State House,schuessler-c,undefined}
State House,williams-r,undefined}
State House,jordan-j,undefined}
State House,pedalino-f,undefined}
State House,mitchell-c,undefined}
State House,terribile-j,undefined}
State House,smith-g,undefined}
State House,crawford-h,undefined}
State House,wooten-c,undefined}
State House,reese-r,undefined}
State House,ballentine-n,undefined}
State House,rose-s,undefined}
State House,hart-c,undefined}
State House,rutherford-t,undefined}
State House,bauer-h,undefined}
State House,howard-l,undefined}
State House,garvin-k,undefined}
State House,bernstein-b,undefined}
State House,grant-h,undefined}
State House,landing-k,undefined}
State House,hartz-c,undefined}
State House,clyburn-w,undefined}
State House,hixon-b,undefined}
State House,oremus-m,undefined}
State House,kilmartin-j,undefined}
State House,taylor-b,undefined}
State House,calhoon-p,undefined}
State House,may-r,undefined}
State House,caskey-m,undefined}
State House,bamberg-j,undefined}
State House,hosey-l,undefined}
State House,cox-b,undefined}
State House,govan-j,undefined}
State House,gatch-g,undefined}
State House,cobbhunter-g,undefined}
State House,mccabe-d,undefined}
State House,robbins-r,undefined}
State House,murphy-c,undefined}
State House,smith-m,undefined}
State House,davis-s,undefined}
State House,kirby-r,undefined}
State House,holman-h,undefined}
State House,anderson-c,undefined}
State House,bailey-w,undefined}
State House,hardee-k,undefined}
State House,guest-v,undefined}
State House,brittain-c,undefined}
State House,hewitt-l,undefined}
State House,spannwilder-t,undefined}
State House,hartnett-t,undefined}
State House,gilliard-w,undefined}
State House,bustos-j,undefined}
State House,pendarvis-m,undefined}
State House,brewer-g,undefined}
State House,wetmore-s,undefined}
State House,teeple-j,undefined}
State House,pace-j,undefined}
State House,herbkersman-b,undefined}
State House,stavrinakis-l,undefined}
State House,newton-w,undefined}
State House,rivers-m,undefined}
State House,hager-b,undefined}
State House,bradley-j,undefined}
State House,erickson-s,undefined}
Amendment,yes,undefined}
