office,won,votes
President,trump-d,undefined}
U.S. House,johnson-d,undefined}
State Senate,rohl-m,undefined}
State Senate,kolbeck-s,undefined}
State Senate,perry-c,undefined}
State Senate,sauder-s,undefined}
State Senate,vilhauer-g,undefined}
State Senate,otten-e,undefined}
State Senate,reed-t,undefined}
State Senate,crabtree-c,undefined}
State Senate,hohn-j,undefined}
State Senate,larson-l,undefined}
State Senate,karr-c,undefined}
State Senate,beal-a,undefined}
State Senate,peterson-s,undefined}
State Senate,zikmund-l,undefined}
State Senate,smith-j,undefined}
State Senate,jensen-k,undefined}
State Senate,davis-s,undefined}
State Senate,nelson-l,undefined}
State Senate,schoenfish-k,undefined}
State Senate,miskimins-p,undefined}
State Senate,voita-m,undefined}
State Senate,wheeler-d,undefined}
State Senate,lapka-m,undefined}
State Senate,mehlhaff-j,undefined}
State Senate,pischke-t,undefined}
State Senate,grove-t,undefined}
State Senate,foster-r,undefined}
State Senate,marty-s,undefined}
State Senate,carley-j,undefined}
State Senate,hulse-a,undefined}
State Senate,deibert-r,undefined}
State Senate,duhamel-h,undefined}
State Senate,voight-c,undefined}
State Senate,howard-t,undefined}
State Senate,blanc-g,undefined}
State House,manhart-l,reder-c,undefined}
State House,kull-d,sjaarda-j,undefined}
State House,schaefbauer-b,novstrup-a,undefined}
State House,jordan-d,roe-k,undefined}
State House,garcia-j,roby-m,undefined}
State House,otten-h,aylward-a,undefined}
State House,heermann-m,degroot-r,undefined}
State House,reisch-t,walburg-t,undefined}
State House,soye-b,schwans-t,undefined}
State House,healy-e,andera-b,undefined}
State House,mulder-b,weems-k,undefined}
State House,jamison-g,arlint-a,undefined}
State House,venhuizen-t,hughes-j,undefined}
State House,rehfeldt-t,kayser-t,undefined}
State House,,undefined}
State House,vasgaard-r,lems-k,undefined}
State House,shorma-w,kassin-c,undefined}
State House,stevens-m,auch-j,undefined}
State House,bahmuller-j,peterson-d,undefined}
State House,bathke-j,nolz-k,undefined}
State House,overweg-m,halverson-j,undefined}
State House,greenfield-l,van_diepen-k,undefined}
State House,gosch-s,moore-s,undefined}
State House,weisgram-m,mortenson-w,undefined}
State House,hansen-j,heinemann-l,undefined}
State House,pourier-p,may-l,undefined}
State House,jorgenson-t,rice-k,undefined}
State House,goodwin-t,ladner-t,undefined}
State House,fitzgerald-m,odenbach-s,undefined}
State House,duffy-s,uhrebalk-n,undefined}
State House,jensen-p,massie-c,undefined}
State House,derby-m,baxter-h,undefined}
State House,mulally-t,randolph-t,undefined}
State House,emery-e,undefined}
State House,reimer-r,undefined}
State House,hunt-j,undefined}
State House,ismay-t,undefined}
Amendment,no,undefined}
Amendment,yes,undefined}
Amendment,no,undefined}
Amendment,no,undefined}
Measure,no,undefined}
Measure,no,undefined}
Referendum,no,undefined}
Public Utilities Commission,fiegen-k,undefined}
