office,won,votes
President,trump-d,undefined}
U.S. Senate,blackburn-m,undefined}
U.S. House,harshbarger-d,undefined}
U.S. House,burchett-t,undefined}
U.S. House,fleischmann-c,undefined}
U.S. House,desjarlais-s,undefined}
U.S. House,ogles-a,undefined}
U.S. House,rose-j,undefined}
U.S. House,green-m,undefined}
U.S. House,kustoff-d,undefined}
U.S. House,cohen-s,undefined}
State Senate,hatcher-t,undefined}
State Senate,harshbarger-b,undefined}
State Senate,massey-b,undefined}
State Senate,seal-j,undefined}
State Senate,gardenhire-t,undefined}
State Senate,yager-k,undefined}
State Senate,reeves-s,undefined}
State Senate,bowling-j,undefined}
State Senate,haile-f,undefined}
State Senate,campbell-h,undefined}
State Senate,powers-b,undefined}
State Senate,stevens-j,undefined}
State Senate,walley-p,undefined}
State Senate,hensley-j,undefined}
State Senate,kyle-s,undefined}
State Senate,rose-p,undefined}
State House,crawford-j,undefined}
State House,hulsey-b,undefined}
State House,hill-t,undefined}
State House,jones-r,undefined}
State House,hawk-d,undefined}
State House,hicks-t,undefined}
State House,alexander-r,undefined}
State House,moon-j,undefined}
State House,hicks-g,undefined}
State House,eldridge-r,undefined}
State House,faison-j,undefined}
State House,atchley-f,undefined}
State House,stevens-r,undefined}
State House,zachary-j,undefined}
State House,mckenzie-s,undefined}
State House,carringer-m,undefined}
State House,farmer-a,undefined}
State House,davis-e,undefined}
State House,wright-d,undefined}
State House,stinnett-t,undefined}
State House,russell-l,undefined}
State House,howell-d,undefined}
State House,cochran-m,undefined}
State House,raper-k,undefined}
State House,sexton-c,undefined}
State House,martin-g,undefined}
State House,reneau-m,undefined}
State House,hakeem-y,undefined}
State House,vital-g,undefined}
State House,heltonhaynes-e,undefined}
State House,travis-r,undefined}
State House,fritts-m,undefined}
State House,scarbrough-r,undefined}
State House,rudd-t,undefined}
State House,slater-w,undefined}
State House,powers-d,undefined}
State House,baum-c,undefined}
State House,keisling-k,undefined}
State House,rudder-i,undefined}
State House,hale-m,undefined}
State House,butler-e,undefined}
State House,williams-r,undefined}
State House,sherrell-p,undefined}
State House,lamberth-w,undefined}
State House,garrett-j,undefined}
State House,boyd-c,undefined}
State House,bricken-r,undefined}
State House,terry-b,undefined}
State House,sparks-m,undefined}
State House,mitchell-b,undefined}
State House,behn-a,undefined}
State House,jones-j,undefined}
State House,powell-j,undefined}
State House,dixie-v,undefined}
State House,clemmons-j,undefined}
State House,freeman-b,undefined}
State House,lynn-s,undefined}
State House,love-h,undefined}
State House,hemmer-c,undefined}
State House,brooks-s,undefined}
State House,bulso-g,undefined}
State House,marsh-p,undefined}
State House,mccalmon-j,undefined}
State House,cepicky-s,undefined}
State House,reeves-l,undefined}
State House,kumar-s,undefined}
State House,glynn-r,undefined}
State House,maberry-a,undefined}
State House,barrett-j,undefined}
State House,doggett-c,undefined}
State House,capley-k,undefined}
State House,haston-k,undefined}
State House,todd-c,undefined}
State House,reedy-j,undefined}
State House,burkhart-j,undefined}
State House,darby-t,undefined}
State House,grills-r,undefined}
State House,littleton-m,undefined}
State House,martin-b,undefined}
State House,shaw-j,undefined}
State House,moody-d,undefined}
State House,hurt-c,undefined}
State House,white-m,undefined}
State House,towns-j,undefined}
State House,chism-j,undefined}
State House,pearson-j,undefined}
State House,camper-k,undefined}
State House,miller-l,undefined}
State House,lafferty-j,undefined}
State House,johnson-g,undefined}
State House,harris-t,undefined}
State House,warner-t,undefined}
State House,hardaway-g,undefined}
State House,gant-r,undefined}
State House,vaughan-k,undefined}
State House,salinas-g,undefined}
State House,gillespie-j,undefined}
State House,parkinson-a,undefined}
State House,leatherwood-t,undefined}
