office,won,votes
President,trump-d,undefined}
U.S. Senate,cruz-t,undefined}
U.S. House,moran-n,undefined}
U.S. House,crenshaw-d,undefined}
U.S. House,self-k,undefined}
U.S. House,fallon-p,undefined}
U.S. House,gooden-l,undefined}
U.S. House,ellzey-j,undefined}
U.S. House,fletcher-l,undefined}
U.S. House,luttrell-m,undefined}
U.S. House,green-a,undefined}
U.S. House,mccaul-m,undefined}
U.S. House,pfluger-a,undefined}
U.S. House,goldman-c,undefined}
U.S. House,jackson-r,undefined}
U.S. House,weber-r,undefined}
U.S. House,de_la_cruz-m,undefined}
U.S. House,escobar-v,undefined}
U.S. House,sessions-p,undefined}
U.S. House,turner-s,undefined}
U.S. House,lee_carter-e,undefined}
U.S. House,arrington-j,undefined}
U.S. House,castro-j,undefined}
U.S. House,roy-c,undefined}
U.S. House,nehls-t,undefined}
U.S. House,gonzales-t,undefined}
U.S. House,van_duyne-b,undefined}
U.S. House,williams-r,undefined}
U.S. House,gill-b,undefined}
U.S. House,cloud-m,undefined}
U.S. House,cuellar-h,undefined}
U.S. House,garcia-s,undefined}
U.S. House,crockett-j,undefined}
U.S. House,carter-j,undefined}
U.S. House,johnson-j,undefined}
U.S. House,veasey-m,undefined}
U.S. House,gonzalez-v,undefined}
U.S. House,casar-g,undefined}
U.S. House,babin-b,undefined}
U.S. House,doggett-l,undefined}
U.S. House,hunt-w,undefined}
State Senate,alvarado-c,undefined}
State Senate,bettencourt-p,undefined}
State Senate,paxton-a,undefined}
State Senate,king-p,undefined}
State Senate,parker-t,undefined}
State Senate,eckhardt-s,undefined}
State Senate,cook-m,undefined}
State Senate,johnson-n,undefined}
State Senate,huffman-j,undefined}
State Senate,hinojosa-j,undefined}
State Senate,west-r,undefined}
State Senate,campbell-d,undefined}
State Senate,hinojosa-a,undefined}
State Senate,blanco-c,undefined}
State Senate,hagenbuch-b,undefined}
State House,vandeaver-g,undefined}
State House,money-b,undefined}
State House,bell-c,undefined}
State House,bell-k,undefined}
State House,hefner-c,undefined}
State House,alders-d,undefined}
State House,dean-j,undefined}
State House,harris-c,undefined}
State House,ashby-t,undefined}
State House,harrison-b,undefined}
State House,shofner-j,undefined}
State House,wharton-t,undefined}
State House,orr-a,undefined}
State House,dyson-p,undefined}
State House,toth-s,undefined}
State House,metcalf-w,undefined}
State House,gerdes-s,undefined}
State House,holt-j,undefined}
State House,troxclair-e,undefined}
State House,wilson-t,undefined}
State House,phelan-d,undefined}
State House,manuel-c,undefined}
State House,leowilson-t,undefined}
State House,bonnen-g,undefined}
State House,vasut-c,undefined}
State House,morgan-m,undefined}
State House,reynolds-r,undefined}
State House,gates-g,undefined}
State House,barry-j,undefined}
State House,louderback-a,undefined}
State House,guillen-r,undefined}
State House,hunter-t,undefined}
State House,pierson-k,undefined}
State House,villalobos-d,undefined}
State House,longoria-o,undefined}
State House,munoz-s,undefined}
State House,lopez-j,undefined}
State House,gamez-e,undefined}
State House,martinez-a,undefined}
State House,canales-t,undefined}
State House,guerra-b,undefined}
State House,raymond-r,undefined}
State House,lozano-j,undefined}
State House,schoolcraft-a,undefined}
State House,zwiener-e,undefined}
State House,cole-s,undefined}
State House,goodwin-v,undefined}
State House,howard-d,undefined}
State House,hinojosa-g,undefined}
State House,talarico-j,undefined}
State House,flores-m,undefined}
State House,harris_davila-c,undefined}
State House,virdell-w,undefined}
State House,buckley-b,undefined}
State House,hickland-h,undefined}
State House,curry-p,undefined}
