office,won,votes
President,trump-d,undefined}
U.S. Senate,curtis-j,undefined}
Governor,cox-s,undefined}
U.S. House,moore-b,undefined}
U.S. House,maloy-c,undefined}
U.S. House,kennedy-m,undefined}
U.S. House,owens-b,undefined}
Attorney General,brown-d,undefined}
State Senate,wilson-c,undefined}
State Senate,johnson-j,undefined}
State Senate,musselman-c,undefined}
State Senate,weiler-t,undefined}
State Senate,escamilla-l,undefined}
State Senate,kwan-k,undefined}
State Senate,riebe-k,undefined}
State Senate,harper-w,undefined}
State Senate,fillmore-l,undefined}
State Senate,balderree-h,undefined}
State Senate,stratton-k,undefined}
State Senate,mckell-m,undefined}
State Senate,hinkins-d,undefined}
State Senate,owens-d,undefined}
State Senate,ipson-d,undefined}
State House,peterson-t,undefined}
State House,petersen-m,undefined}
State House,thompson-j,undefined}
State House,birkeland-k,undefined}
State House,snider-c,undefined}
State House,gwynn-m,undefined}
State House,wilcox-r,undefined}
State House,kyle-j,undefined}
State House,sawyer-j,undefined}
State House,koford-j,undefined}
State House,hall-k,undefined}
State House,schultz-m,undefined}
State House,peterson-k,undefined}
State House,lisonbee-k,undefined}
State House,defay-a,undefined}
State House,lee-t,undefined}
State House,barlow-s,undefined}
State House,cutler-p,undefined}
State House,ward-r,undefined}
State House,ballard-m,undefined}
State House,hollins-s,undefined}
State House,daileyprovost-j,undefined}
State House,nguyen-h,undefined}
State House,miller-g,undefined}
State House,romero-a,undefined}
State House,macpherson-m,undefined}
State House,loubet-a,undefined}
State House,peck-n,undefined}
State House,bolinder-b,undefined}
State House,fitisemanu-j,undefined}
State House,mauga-v,undefined}
State House,hayes-s,undefined}
State House,owens-d,undefined}
State House,spackman_moss-c,undefined}
State House,dominguez-r,undefined}
State House,dunnigan-j,undefined}
State House,matthews-a,undefined}
State House,acton-c,undefined}
State House,ivory-k,undefined}
State House,stoddard-a,undefined}
State House,bennion-g,undefined}
State House,okerlund-c,undefined}
State House,eliason-s,undefined}
State House,teuscher-j,undefined}
State House,miller-t,undefined}
State House,roberts-c,undefined}
State House,strong-m,undefined}
State House,fiefia-d,undefined}
State House,pierucci-c,undefined}
State House,gricius-s,undefined}
State House,moss-j,undefined}
State House,maloy-c,undefined}
State House,christofferson-k,undefined}
State House,brammer-b,undefined}
State House,hawkins-j,undefined}
State House,peterson-v,undefined}
State House,abbott-n,undefined}
State House,shallenberger-d,undefined}
State House,kohler-m,undefined}
State House,clancy-t,undefined}
State House,shepherd-l,undefined}
State House,thurston-n,undefined}
State House,whyte-s,undefined}
State House,burton-j,undefined}
State House,welton-d,undefined}
State House,shelley-t,undefined}
State House,watkins-c,undefined}
State House,chew-s,undefined}
State House,monson-l,undefined}
State House,albrecht-c,undefined}
State House,shipp-r,undefined}
State House,elison-j,undefined}
State House,jack-c,undefined}
State House,walter-n,undefined}
State House,brooks-w,undefined}
Constitutional Amendment,for,undefined}
Constitutional Amendment,for,undefined}
Auditor,cannon-t,undefined}
Treasurer,oaks-m,undefined}
State Board of Education,hall-r,undefined}
State Board of Education,barlow_lear-c,undefined}
State Board of Education,hart-m,undefined}
State Board of Education,bollinger-a,undefined}
State Board of Education,hymas-m,undefined}
State Board of Education,kelley-c,undefined}
State Board of Education,boothe-r,undefined}
State Board of Education,brinton-j,undefined}
