office,won,votes
President,harris-k,undefined}
U.S. Senate,cantwell-m,undefined}
Governor,ferguson-b,undefined}
U.S. House,delbene-s,undefined}
U.S. House,larsen-r,undefined}
U.S. House,gluesenkamp_perez-m,undefined}
U.S. House,newhouse-d,undefined}
U.S. House,baumgartner-m,undefined}
U.S. House,randall-e,undefined}
U.S. House,jayapal-p,undefined}
U.S. House,schrier-k,undefined}
U.S. House,smith-a,undefined}
U.S. House,strickland-m,undefined}
Lieutenant Governor,heck-d,undefined}
Attorney General,brown-n,undefined}
State Senate,stanford-d,undefined}
State Senate,mccune-j,undefined}
State Senate,riccelli-m,undefined}
State Senate,christian-l,undefined}
State Senate,ramos-b,undefined}
State Senate,schoesler-m,undefined}
State Senate,muzzall-r,undefined}
State Senate,hasegawa-b,undefined}
State Senate,goehner-k,undefined}
State Senate,king-c,undefined}
State Senate,dozier-p,undefined}
State Senate,harris-p,undefined}
State Senate,,undefined}
State Senate,wilson-j,undefined}
State Senate,braun-j,undefined}
State Senate,bateman-j,undefined}
State Senate,hansen-d,undefined}
State Senate,chapman-m,undefined}
State Senate,gildon-c,undefined}
State Senate,trudeau-y,undefined}
State Senate,nobles-t,undefined}
State Senate,wagoner-k,undefined}
State Senate,lovelett-e,undefined}
State Senate,wellman-l,undefined}
State Senate,cleveland-a,undefined}
State House,duerr-d,undefined}
State House,kloba-s,undefined}
State House,barkis-a,undefined}
State House,marshall-m,undefined}
State House,hill-n,undefined}
State House,ormsby-t,undefined}
State House,schmidt-s,undefined}
State House,chase-r,undefined}
State House,hunt-v,undefined}
State House,callan-l,undefined}
State House,volz-m,undefined}
State House,graham-j,undefined}
State House,engell-a,undefined}
State House,abell-h,undefined}
State House,barnard-s,undefined}
State House,connors-a,undefined}
State House,dye-m,undefined}
State House,schmick-j,undefined}
State House,shavers-c,undefined}
State House,paul-d,undefined}
State House,hackney-d,undefined}
State House,bergquist-s,undefined}
State House,burnett-b,undefined}
State House,steele-m,undefined}
State House,dent-t,undefined}
State House,ybarra-a,undefined}
State House,mendoza-g,undefined}
State House,manjarrez-d,undefined}
State House,corry-c,undefined}
State House,dufault-j,undefined}
State House,klicker-m,undefined}
State House,rude-s,undefined}
State House,waters-k,undefined}
State House,stuebe-d,undefined}
State House,mcclintock-s,undefined}
State House,ley-j,undefined}
State House,walsh-j,undefined}
State House,mcentire-j,undefined}
State House,abbarno-p,undefined}
State House,orcutt-e,undefined}
State House,peterson-s,undefined}
State House,ortizself-l,undefined}
State House,doglio-b,undefined}
State House,parshley-l,undefined}
State House,simmons-t,undefined}
State House,nance-g,undefined}
State House,bernbaum-a,undefined}
State House,tharinger-s,undefined}
State House,keaton-m,undefined}
State House,jacobsen-c,undefined}
State House,richards-a,undefined}
State House,caldier-m,undefined}
State House,jinkins-l,undefined}
State House,fey-j,undefined}
State House,leavitt-m,undefined}
State House,bronoske-d,undefined}
State House,morgan-m,undefined}
State House,mena-s,undefined}
State House,taylor-j,undefined}
State House,reeves-k,undefined}
State House,stokesbary-d,undefined}
State House,penner-j,undefined}
State House,ryu-c,undefined}
State House,davis-l,undefined}
State House,orwall-t,undefined}
State House,gregerson-m,undefined}
State House,alvarado-e,undefined}
State House,fitzgibbon-j,undefined}
State House,griffey-d,undefined}
State House,couture-t,undefined}
State House,reed-j,undefined}
State House,berry-l,undefined}
State House,tomiko_santos-s,undefined}
State House,street-c,undefined}
State House,cortes-j,undefined}
State House,fosse-m,undefined}
State House,low-s,undefined}
State House,eslick-c,undefined}
State House,lekanoff-d,undefined}
State House,ramel-a,undefined}
State House,senn-t,undefined}
State House,thai-m,undefined}
State House,rule-a,undefined}
State House,timmons-j,undefined}
State House,macri-n,undefined}
State House,scott-s,undefined}
State House,donaghy-b,undefined}
State House,berg-a,undefined}
State House,goodman-r,undefined}
State House,springer-l,undefined}
State House,pollet-g,undefined}
State House,farivar-d,undefined}
State House,entenman-d,undefined}
State House,stearns-c,undefined}
State House,slatter-v,undefined}
State House,walen-a,undefined}
State House,wylie-s,undefined}
State House,stonier-m,undefined}
Measure,yes,undefined}
Measure,no,undefined}
Measure,no,undefined}
Measure,no,undefined}
Auditor,mccarthy-p,undefined}
Insurance Commissioner,kuderer-p,undefined}
Lands Commissioner,upthegrove-d,undefined}
Secretary of State,hobbs-s,undefined}
Superintendent of Education,reykdal-c,undefined}
Supreme Court,,undefined}
Supreme Court,gonzalez-s,undefined}
Supreme Court,gordon_mccloud-s,undefined}
Treasurer,pellicciotti-m,undefined}
Court of Appeals,chung-j,undefined}
Court of Appeals,hazelrigg-c,undefined}
Court of Appeals,lee-l,undefined}
Court of Appeals,glasgow-r,undefined}
Court of Appeals,veljacic-b,undefined}
Court of Appeals,cooney-j,undefined}
Court of Appeals,lawrenceberrey-r,undefined}
