office,won,votes
President,trump-d,undefined}
U.S. Senate,justice-j,undefined}
Governor,morrisey-p,undefined}
U.S. House,miller-c,undefined}
U.S. House,moore-r,undefined}
Attorney General,mccuskey-j,undefined}
State Senate,weld-r,undefined}
State Senate,rose-c,undefined}
State Senate,boley-d,undefined}
State Senate,grady-a,undefined}
State Senate,fuller-s,undefined}
State Senate,hart-c,undefined}
State Senate,phillips-r,undefined}
State Senate,jeffries-g,undefined}
State Senate,helton-b,undefined}
State Senate,woodrum-j,undefined}
State Senate,morris-r,undefined}
State Senate,martin-p,undefined}
State Senate,garcia-j,undefined}
State Senate,smith-r,undefined}
State Senate,willis-t,undefined}
State Senate,rucker-p,undefined}
State Senate,nelson-e,undefined}
House of Delegates,mcgeehan-p,undefined}
House of Delegates,zatezalo-m,undefined}
House of Delegates,willis-j,undefined}
House of Delegates,flanigan-b,undefined}
House of Delegates,fluharty-s,undefined}
House of Delegates,stephens-j,undefined}
House of Delegates,sheedy-c,undefined}
House of Delegates,kelly-d,undefined}
House of Delegates,barnhart-t,undefined}
House of Delegates,anderson-b,undefined}
House of Delegates,fehrenbacher-b,undefined}
House of Delegates,criss-v,undefined}
House of Delegates,heckert-s,undefined}
House of Delegates,foggin-d,undefined}
House of Delegates,moore-e,undefined}
House of Delegates,parsons-f,undefined}
House of Delegates,pinson-j,undefined}
House of Delegates,butler-j,undefined}
House of Delegates,crouse-k,undefined}
House of Delegates,drennan-s,undefined}
House of Delegates,cannon-j,undefined}
House of Delegates,linville-d,undefined}
House of Delegates,worrell-e,undefined}
House of Delegates,lucas-p,undefined}
House of Delegates,hornbuckle-s,undefined}
House of Delegates,rohrbach-m,undefined}
House of Delegates,amos-m,undefined}
House of Delegates,browning-r,undefined}
House of Delegates,dillon-h,undefined}
House of Delegates,eldridge-j,undefined}
House of Delegates,mazzocchi-m,undefined}
House of Delegates,holstein-j,undefined}
House of Delegates,bridges-j,undefined}
House of Delegates,dean-m,undefined}
House of Delegates,vance-a,undefined}
House of Delegates,green-d,undefined}
House of Delegates,gearheart-m,undefined}
House of Delegates,ellington-j,undefined}
House of Delegates,smith-d,undefined}
House of Delegates,cooper-r,undefined}
House of Delegates,maynor-j,undefined}
House of Delegates,steele-b,undefined}
House of Delegates,toney-c,undefined}
House of Delegates,roop-c,undefined}
House of Delegates,brooks-e,undefined}
House of Delegates,campbell-j,undefined}
House of Delegates,canterbury-r,undefined}
House of Delegates,clark-t,undefined}
House of Delegates,adkins-s,undefined}
House of Delegates,pritt-d,undefined}
House of Delegates,clay-m,undefined}
House of Delegates,howell-t,undefined}
House of Delegates,leavitt-t,undefined}
House of Delegates,pushkin-m,undefined}
House of Delegates,akers-j,undefined}
House of Delegates,young-k,undefined}
House of Delegates,lewis-h,undefined}
House of Delegates,hall-w,undefined}
House of Delegates,shamblin-a,undefined}
House of Delegates,ferrell-d,undefined}
House of Delegates,jeffries-d,undefined}
House of Delegates,hanshaw-r,undefined}
House of Delegates,dittman-l,undefined}
House of Delegates,burkhammer-a,undefined}
House of Delegates,martin-c,undefined}
House of Delegates,kyle-j,undefined}
House of Delegates,coopgonzalez-e,undefined}
House of Delegates,phillips-c,undefined}
House of Delegates,marple-k,undefined}
House of Delegates,petitto-m,undefined}
House of Delegates,kimble-l,undefined}
House of Delegates,riley-c,undefined}
House of Delegates,smith-b,undefined}
House of Delegates,devault-m,undefined}
House of Delegates,mallow-p,undefined}
House of Delegates,garcia-r,undefined}
House of Delegates,statler-j,undefined}
House of Delegates,chiarelli-g,undefined}
House of Delegates,hansen-e,undefined}
House of Delegates,williams-j,undefined}
House of Delegates,hamilton-a,undefined}
House of Delegates,mccormick-d,undefined}
House of Delegates,street-g,undefined}
House of Delegates,jennings-d,undefined}
House of Delegates,hott-j,undefined}
House of Delegates,ward-b,undefined}
House of Delegates,howell-g,undefined}
House of Delegates,hillenbrand-r,undefined}
House of Delegates,thorne-d,undefined}
House of Delegates,miller-g,undefined}
House of Delegates,de_soto-j,undefined}
House of Delegates,hite-m,undefined}
House of Delegates,hornby-m,undefined}
House of Delegates,kump-l,undefined}
House of Delegates,horst-c,undefined}
House of Delegates,white-l,undefined}
House of Delegates,anders-c,undefined}
House of Delegates,funkhouser-j,undefined}
House of Delegates,clark-w,undefined}
House of Delegates,ridenour-w,undefined}
Constitutional Amendment,for,undefined}
Agriculture Commissioner,leonhardt-k,undefined}
Auditor,hunt-m,undefined}
Secretary of State,warner-k,undefined}
Treasurer,pack-l,undefined}
