office,won,votes
President,trump-d,undefined}
U.S. Senate,baldwin-t,undefined}
U.S. House,steil-b,undefined}
U.S. House,pocan-m,undefined}
U.S. House,van_orden-d,undefined}
U.S. House,moore-g,undefined}
U.S. House,fitzgerald-s,undefined}
U.S. House,grothman-g,undefined}
U.S. House,tiffany-t,undefined}
U.S. House,wied-t,undefined}
U.S. House,wied-t,undefined}
State Senate,wimberger-e,undefined}
State Senate,drake-d,undefined}
State Senate,johnson-l,undefined}
State Senate,habush_sinykin-j,undefined}
State Senate,stafsholt-r,undefined}
State Senate,felzkowski-m,undefined}
State Senate,keyeski-s,undefined}
State Senate,ratcliff-m,undefined}
State Senate,alfheim-k,undefined}
State Senate,feyen-d,undefined}
State Senate,wirch-r,undefined}
State Senate,testin-p,undefined}
State Senate,roys-k,undefined}
State Senate,bradley-j,undefined}
State Senate,wall-j,undefined}
State Senate,pfaff-b,undefined}
State Assembly,kitchens-j,undefined}
State Assembly,sortwell-s,undefined}
State Assembly,tusler-r,undefined}
State Assembly,steffen-d,undefined}
State Assembly,goeben-j,undefined}
State Assembly,behnke-e,undefined}
State Assembly,kirsch-k,undefined}
State Assembly,ortizvelez-s,undefined}
State Assembly,prado-p,undefined}
State Assembly,madison-d,undefined}
State Assembly,taylor-s,undefined}
State Assembly,goodwin-r,undefined}
State Assembly,vining-r,undefined}
State Assembly,tenorio-a,undefined}
State Assembly,neylon-a,undefined}
State Assembly,haywood-k,undefined}
State Assembly,moore_omokunde-s,undefined}
State Assembly,arney-m,undefined}
State Assembly,clancy-r,undefined}
State Assembly,sinicki-c,undefined}
State Assembly,rodriguez-j,undefined}
State Assembly,melotik-p,undefined}
State Assembly,andraca-d,undefined}
State Assembly,knodl-d,undefined}
State Assembly,tittl-p,undefined}
State Assembly,sheehan-j,undefined}
State Assembly,brill-l,undefined}
State Assembly,kreibich-r,undefined}
State Assembly,pronschinske-t,undefined}
State Assembly,zimmerman-s,undefined}
State Assembly,august-t,undefined}
State Assembly,nedweski-a,undefined}
State Assembly,vos-r,undefined}
State Assembly,swearingen-r,undefined}
State Assembly,callahan-c,undefined}
State Assembly,mursau-j,undefined}
State Assembly,born-m,undefined}
State Assembly,penterman-w,undefined}
State Assembly,dallman-a,undefined}
State Assembly,desanto-k,undefined}
State Assembly,kurtz-t,undefined}
State Assembly,mccarville-m,undefined}
State Assembly,brown-b,undefined}
State Assembly,roe-a,undefined}
State Assembly,anderson-c,undefined}
State Assembly,fitzgerald-j,undefined}
State Assembly,udell-r,undefined}
State Assembly,hysell-a,undefined}
State Assembly,tranel-t,undefined}
State Assembly,jacobson-j,undefined}
State Assembly,novak-t,undefined}
State Assembly,snodgrass-l,undefined}
State Assembly,kaufert-d,undefined}
State Assembly,palmeri-l,undefined}
State Assembly,gustafson-n,undefined}
State Assembly,murphy-d,undefined}
State Assembly,petersen-k,undefined}
State Assembly,gundrum-r,undefined}
State Assembly,brooks-r,undefined}
State Assembly,oconnor-j,undefined}
State Assembly,donovan-b,undefined}
State Assembly,cruz-a,undefined}
State Assembly,wittke-r,undefined}
State Assembly,mcguire-t,undefined}
State Assembly,desmidt-b,undefined}
State Assembly,neubauer-g,undefined}
State Assembly,armstrong-d,undefined}
State Assembly,summerfield-r,undefined}
State Assembly,hurd-k,undefined}
State Assembly,vandermeer-n,undefined}
State Assembly,miresse-v,undefined}
State Assembly,krug-s,undefined}
State Assembly,stroud-a,undefined}
State Assembly,green-c,undefined}
State Assembly,tucker-d,undefined}
State Assembly,hong-f,undefined}
State Assembly,mayadev-r,undefined}
State Assembly,stubbs-s,undefined}
State Assembly,subeck-l,undefined}
State Assembly,bare-m,undefined}
State Assembly,joers-a,undefined}
State Assembly,allen-s,undefined}
State Assembly,maxey-d,undefined}
State Assembly,wichgers-c,undefined}
State Assembly,snyder-p,undefined}
State Assembly,spiros-j,undefined}
State Assembly,jacobson-b,undefined}
State Assembly,franklin-b,undefined}
State Assembly,spaude-r,undefined}
State Assembly,rivera_wagner-a,undefined}
State Assembly,emerson-j,undefined}
State Assembly,moses-c,undefined}
State Assembly,phelps-c,undefined}
State Assembly,doyle-s,undefined}
State Assembly,billings-j,undefined}
State Assembly,johnson-t,undefined}
State Assembly,duchow-c,undefined}
State Assembly,piwowarczyk-j,undefined}
State Assembly,dittrich-b,undefined}
Question,yes,undefined}
