office,won,votes
President,trump-d,undefined}
U.S. Senate,barrasso-j,undefined}
U.S. House,hageman-h,undefined}
State Senate,boner-b,undefined}
State Senate,nethercott-t,undefined}
State Senate,smith-d,undefined}
State Senate,olsen-j,undefined}
State Senate,crum-g,undefined}
State Senate,kolb-j,undefined}
State Senate,taliaferro_pearson-l,undefined}
State Senate,dockstader-d,undefined}
State Senate,french-t,undefined}
State Senate,cooper-e,undefined}
State Senate,crago-b,undefined}
State Senate,mckeown-t,undefined}
State Senate,salazar-t,undefined}
State Senate,anderson-j,undefined}
State Senate,scott-c,undefined}
State House,neiman-c,undefined}
State House,williams-j,undefined}
State House,angelos-a,undefined}
State House,haroldson-j,undefined}
State House,smith-s,undefined}
State House,strock-t,undefined}
State House,nicholas-b,undefined}
State House,johnson-s,undefined}
State House,brown-l,undefined}
State House,eklund-j,undefined}
State House,wasserburger-j,undefined}
State House,styvar-c,undefined}
State House,chestek-k,undefined}
State House,sherwood-t,undefined}
State House,thayer-p,undefined}
State House,yin-m,undefined}
State House,larson-j,undefined}
State House,heiner-s,undefined}
State House,webb-j,undefined}
State House,schmid-m,undefined}
State House,erickson-m,undefined}
State House,byron-a,undefined}
State House,storer-l,undefined}
State House,webber-n,undefined}
State House,hoeft-p,undefined}
State House,banks-d,undefined}
State House,lawley-m,undefined}
State House,winter-j,undefined}
State House,pendergraft-k,undefined}
State House,kelly-t,undefined}
State House,bear-j,undefined}
State House,clouston-k,undefined}
State House,posey-i,undefined}
State House,ottman-p,undefined}
State House,locke-t,undefined}
State House,washut-a,undefined}
State House,harshman-s,undefined}
State House,lien-j,undefined}
State House,wylie-c,undefined}
State House,connoly-m,undefined}
State House,brown-g,undefined}
State House,geringer-r,undefined}
State House,lucas-a,undefined}
State House,filer-l,undefined}
State House,provenza-k,undefined}
State House,andrew-o,undefined}
State House,davis-b,undefined}
State House,mccann-d,undefined}
State House,wharff-r,undefined}
State House,rodriguezwilliams-r,undefined}
State House,bratten-l,undefined}
State House,tarver-r,undefined}
State House,knapp-c,undefined}
State House,larsen-l,undefined}
State House,guggenmos-j,undefined}
State House,campbell-e,undefined}
State House,jarvis-j,undefined}
State House,allemand-b,undefined}
State House,riggins-j,undefined}
State House,brady-m,undefined}
State House,singh-d,undefined}
State House,campbell-k,undefined}
Constitutional Amendment,for,undefined}
